Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,ATL,CHO,0,5,18.53,3,2,3,2,2,2,0,1,0,0,0,0,2,8,-4
2024-10-27,ATL,OKC,1,-24,21.62,9,4,8,4,2,2,1,2,2,2,0,1,5,14,-1
2024-10-28,ATL,WAS,0,-2,24.0,10,4,9,4,2,3,0,0,2,0,0,2,2,14,5
2024-10-30,ATL,WAS,1,-13,23.17,5,2,4,2,0,0,0,1,2,2,0,0,4,6,-6
2024-11-01,ATL,SAC,0,-8,29.6,15,8,13,7,0,0,0,1,2,2,1,0,3,23,3
2024-11-03,ATL,NOP,1,15,20.27,7,3,6,3,2,2,0,3,1,0,0,2,4,11,-8
2024-11-04,ATL,BOS,0,-30,26.03,5,4,3,2,0,1,0,0,2,0,1,0,1,10,-14
2024-11-06,ATL,NYK,0,5,19.82,5,2,4,2,3,3,1,3,2,1,0,0,1,9,-7
2024-11-08,ATL,DET,1,-1,27.35,5,2,4,1,3,3,1,2,1,1,0,0,0,8,-2
2024-11-09,ATL,CHI,0,-12,18.57,5,2,3,1,3,4,0,1,0,1,0,0,1,8,4
2024-11-12,ATL,BOS,1,1,23.22,3,0,3,0,2,2,0,1,5,1,0,2,2,2,-6
2024-11-15,ATL,WAS,0,12,12.4,6,3,5,2,4,4,0,0,2,0,1,0,1,12,11
2024-11-17,ATL,POR,1,-4,10.68,5,2,5,2,0,0,0,1,0,0,0,0,0,6,-19
2024-11-18,ATL,SAC,1,1,28.48,6,3,5,3,0,0,0,1,4,2,0,0,2,9,17
2024-11-20,ATL,GSW,1,-23,4.28,3,1,1,1,0,0,0,1,1,0,0,0,0,3,-2
2024-11-22,ATL,CHI,1,-14,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-11-29,ATL,CLE,0,16,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-11-30,ATL,CHO,1,3,13.0,3,1,3,1,1,3,0,1,0,1,0,3,2,4,-10
2024-12-08,ATL,DEN,0,-30,20.83,4,0,4,0,2,2,0,2,1,0,0,0,4,2,-27
2024-12-21,ATL,MEM,0,-16,6.05,3,2,3,2,0,0,0,1,0,0,0,1,0,6,6
2024-12-23,ATL,MIN,0,13,25.95,8,7,8,7,4,5,0,2,1,2,1,1,2,25,6
2024-12-26,ATL,CHI,0,8,18.6,7,1,7,1,2,2,2,3,0,1,1,1,1,5,-19
2024-12-28,ATL,MIA,0,10,27.2,8,5,7,4,4,5,0,2,2,1,0,1,3,18,16
2024-12-29,ATL,TOR,1,29,22.97,9,2,7,2,5,6,0,2,6,0,2,0,3,11,15
2025-01-01,ATL,DEN,1,-19,28.55,8,4,4,1,0,1,1,5,3,0,1,2,3,9,-15
