Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-24,PHI,LAC,0,-26,5.52,3,2,1,0,0,1,0,2,1,0,0,0,0,4,3
2024-11-30,PHI,DET,1,15,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
2025-01-01,PHI,SAC,1,-6,4.8,1,0,1,0,0,0,0,0,0,1,0,0,2,0,9
2025-01-02,PHI,GSW,1,-34,9.18,5,2,3,0,0,0,0,0,1,1,0,1,0,4,-4
2025-01-04,PHI,BRK,1,29,22.87,7,4,6,3,0,0,1,5,1,0,0,1,2,11,11
2025-01-06,PHI,PHO,0,-10,13.43,2,1,1,1,0,0,2,3,0,0,1,0,1,3,-3
2025-01-08,PHI,WAS,0,6,12.37,4,1,2,0,0,0,1,3,0,0,1,0,2,2,0
2025-01-12,PHI,ORL,1,-5,24.37,5,3,3,1,0,0,0,2,1,0,0,1,2,7,-5
2025-01-14,PHI,OKC,0,-16,35.02,16,9,9,4,3,4,1,6,4,1,0,3,1,25,3
2025-01-15,PHI,NYK,0,-6,35.3,6,4,4,2,0,0,1,2,3,1,0,0,3,10,1
2025-01-18,PHI,IND,1,-13,21.92,6,2,3,0,0,0,0,3,1,0,0,1,6,4,-13
2025-01-19,PHI,MIL,1,-14,32.98,8,3,4,1,0,0,1,5,0,0,1,3,3,7,-14
2025-01-21,PHI,DEN,1,-35,27.93,10,4,7,3,0,0,2,3,1,1,0,2,2,11,-18
2025-01-24,PHI,CLE,0,3,25.95,8,4,6,3,4,6,4,6,1,2,1,1,2,15,-9
2025-01-25,PHI,CHI,1,12,29.45,6,1,3,0,1,2,2,2,0,3,0,0,2,3,14
2025-01-28,PHI,LAL,0,14,29.27,7,3,3,1,0,0,0,4,3,3,0,2,4,7,-9
