Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,SAC,MIN,0,-2,42.53,18,7,2,0,12,14,1,8,2,1,0,2,0,26,8
2024-10-26,SAC,LAL,1,-4,37.22,12,9,3,2,3,4,0,0,3,3,0,2,2,23,-9
2024-10-28,SAC,POR,0,13,33.9,14,7,1,0,9,10,1,4,3,3,0,1,1,23,18
2024-10-29,SAC,UTA,1,17,34.05,14,9,1,0,2,3,1,4,8,1,1,1,1,20,13
2024-11-01,SAC,ATL,1,8,38.78,16,9,1,1,8,10,1,8,2,3,1,1,2,27,10
2024-11-02,SAC,TOR,1,-3,42.88,27,12,7,2,7,7,0,3,4,3,0,6,1,33,6
2024-11-04,SAC,MIA,1,1,35.98,18,10,2,1,5,5,1,3,6,0,2,1,4,26,-2
2024-11-06,SAC,TOR,0,15,35.27,21,11,4,2,3,3,0,2,3,1,0,3,1,27,15
2024-11-08,SAC,LAC,0,-9,39.6,12,5,2,0,3,4,0,1,6,2,0,2,1,13,-9
2024-11-10,SAC,PHO,1,9,42.68,25,14,1,1,5,6,0,3,3,1,0,2,0,34,7
2024-11-11,SAC,SAS,1,-20,37.53,15,8,1,1,4,5,1,8,6,1,2,0,1,21,-11
2024-11-13,SAC,PHO,0,23,17.43,2,1,0,0,0,0,1,5,3,1,2,2,1,2,0
2024-11-22,SAC,LAC,1,-16,36.12,19,6,5,0,4,8,0,6,2,1,1,2,3,16,-8
2024-11-24,SAC,BRK,0,-5,35.72,18,7,2,0,4,6,1,5,5,0,0,3,4,18,0
2024-11-25,SAC,OKC,0,-21,35.52,21,13,2,0,4,4,0,2,6,1,0,0,1,30,-14
2024-12-01,SAC,SAS,0,-2,36.77,20,10,1,0,8,9,1,5,8,3,0,0,0,28,0
2024-12-03,SAC,HOU,0,9,33.85,15,6,2,0,4,5,0,5,5,1,1,2,2,16,17
2024-12-05,SAC,MEM,1,-5,35.4,15,6,1,1,13,14,1,3,1,1,0,2,5,26,-12
2024-12-06,SAC,SAS,1,27,32.35,15,8,3,1,6,6,0,3,2,1,0,2,3,23,10
2024-12-08,SAC,UTA,0,44,29.15,14,8,2,0,2,2,0,1,4,1,1,0,3,18,19
2024-12-12,SAC,NOP,1,2,34.28,18,8,3,3,10,11,0,3,2,4,0,1,3,29,6
2024-12-16,SAC,DEN,0,-1,34.13,18,7,1,0,3,3,1,3,4,2,0,2,4,17,0
2024-12-19,SAC,LAL,0,-13,35.22,13,4,2,0,2,2,0,5,4,1,0,1,3,10,-14
2024-12-21,SAC,LAL,0,-4,37.35,10,4,2,1,3,3,2,4,3,2,0,2,2,12,6
2024-12-22,SAC,IND,0,-27,28.13,7,1,1,0,0,0,1,2,2,0,0,0,1,2,-21
2024-12-26,SAC,DET,0,-1,36.18,13,7,3,1,4,6,0,3,4,0,0,1,1,19,-1
2024-12-28,SAC,LAL,1,-10,41.22,17,12,2,0,1,1,2,6,7,1,0,1,4,25,-9
2024-12-30,SAC,DAL,0,10,25.5,13,6,2,1,1,1,0,4,2,0,0,1,4,14,-1
2025-01-01,SAC,PHI,0,6,31.58,14,7,1,0,4,4,1,5,1,2,0,1,0,18,-5
2025-01-03,SAC,MEM,0,5,37.82,18,10,7,4,5,7,1,3,5,0,1,1,4,29,10
2025-01-05,SAC,GSW,1,30,31.38,14,5,4,0,2,2,0,0,1,1,0,3,2,12,17
2025-01-06,SAC,MIA,0,5,46.93,26,12,4,1,5,5,0,3,4,0,1,3,3,30,24
