Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,POR,GSW,0,-36,29.88,8,3,4,2,3,4,4,6,4,2,0,2,4,11,-22
2024-10-25,POR,NOP,0,-2,24.93,6,2,2,1,0,0,4,6,2,1,0,1,4,5,3
2024-10-27,POR,NOP,0,22,33.65,8,5,3,2,0,1,2,3,4,2,0,0,3,12,18
2024-10-28,POR,SAC,1,-13,20.82,3,1,1,0,0,0,2,2,3,1,1,1,4,2,-7
2024-10-30,POR,LAC,1,1,40.2,10,5,4,2,0,0,0,1,1,3,1,1,2,12,-7
2024-11-01,POR,OKC,0,-23,24.35,7,4,5,3,2,2,0,3,2,2,0,2,2,13,-25
2024-11-02,POR,PHO,1,-6,34.4,9,3,3,1,0,0,5,10,1,2,0,0,2,7,1
2024-11-04,POR,NOP,1,18,36.52,12,6,5,2,2,4,2,5,4,1,1,0,4,16,15
2024-11-07,POR,SAS,1,-13,34.53,7,2,3,0,0,0,3,9,1,1,0,2,3,4,-10
2024-11-08,POR,MIN,1,-25,25.42,3,1,2,0,1,2,2,5,0,2,1,6,4,3,-3
2024-11-10,POR,MEM,0,-45,25.6,5,2,3,1,4,4,1,4,0,1,0,3,2,9,-26
2024-11-12,POR,MIN,0,14,37.87,8,5,5,4,0,0,2,4,3,2,0,3,3,14,20
2024-11-13,POR,MIN,0,8,35.4,9,5,3,1,0,0,2,8,1,2,0,2,1,11,-6
2024-11-17,POR,ATL,0,4,35.0,8,1,3,1,0,0,3,4,5,4,0,1,4,3,-6
2024-11-20,POR,OKC,1,-10,37.85,11,5,7,2,2,2,3,9,2,0,1,3,3,14,-5
2024-11-22,POR,HOU,1,-28,25.87,13,4,9,3,0,0,0,3,3,1,1,0,2,11,-4
2024-11-23,POR,HOU,1,6,28.28,10,2,5,1,0,2,1,5,1,1,1,2,4,5,-4
2024-11-25,POR,MEM,1,-25,28.07,15,4,8,1,1,2,6,8,3,2,0,1,3,10,-18
2024-11-27,POR,IND,1,-7,24.3,4,3,3,2,0,0,3,4,2,1,0,3,4,8,-10
2024-11-29,POR,SAC,0,9,32.77,8,4,4,1,2,2,1,4,2,0,1,0,4,11,-1
2024-12-01,POR,DAL,0,-6,36.43,10,6,7,5,0,0,3,7,4,1,0,2,1,17,4
2024-12-03,POR,LAC,1,-22,28.97,7,4,3,1,0,0,0,4,1,0,0,0,2,9,-19
2024-12-06,POR,UTA,0,-42,8.1,4,0,4,0,0,0,0,0,1,1,0,0,2,0,-11
2024-12-08,POR,LAL,1,-9,30.5,6,3,4,1,1,1,1,6,0,1,0,3,2,8,-18
2024-12-13,POR,SAS,0,-2,38.07,6,3,5,2,0,0,2,6,2,1,4,2,3,8,-4
2024-12-15,POR,PHO,1,-7,32.23,11,5,6,2,2,2,2,7,2,1,1,1,3,14,3
2024-12-19,POR,DEN,0,2,36.12,9,5,5,2,2,2,4,8,1,3,0,1,4,14,6
2024-12-21,POR,SAS,1,-20,28.57,3,0,2,0,0,0,1,7,3,0,0,2,0,0,-27
