Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-10-25,MIL,CHI,0,-11,1.82,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2
2024-10-28,MIL,BOS,1,-11,2.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2024-10-31,MIL,MEM,1,-23,4.73,2,1,2,1,1,2,0,0,1,0,1,1,0,4,-1
2024-11-04,MIL,CLE,1,-2,6.7,2,1,0,0,0,0,1,3,1,0,0,0,1,2,7
2024-11-07,MIL,UTA,0,23,4.38,1,1,0,0,0,0,0,1,1,1,0,0,1,2,2
2024-11-08,MIL,NYK,1,-22,12.2,5,3,2,1,0,0,0,1,3,1,0,3,2,7,8
2024-11-10,MIL,BOS,0,-6,12.22,1,0,0,0,0,0,1,1,0,0,3,1,0,0,8
2024-11-12,MIL,TOR,0,14,22.35,12,4,7,4,0,0,1,5,3,5,0,2,2,12,10
2024-12-03,MIL,DET,1,21,2.42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
2024-12-04,MIL,ATL,0,-15,1.72,1,0,1,0,2,2,0,0,0,0,0,0,1,2,-1
2024-12-20,MIL,CLE,1,-23,12.0,7,4,2,1,0,0,0,0,2,3,0,0,0,9,4
2024-12-21,MIL,WAS,0,11,30.63,10,5,5,2,2,3,0,3,2,1,0,3,1,14,-10
2024-12-23,MIL,CHI,1,21,22.32,6,3,3,2,0,0,0,5,1,2,1,2,2,8,1
2024-12-26,MIL,BRK,0,-6,29.02,7,3,5,1,0,0,2,4,3,3,1,4,4,7,-12
2024-12-28,MIL,CHI,1,-5,21.28,6,3,1,1,0,0,0,7,1,1,2,0,2,7,3
2024-12-31,MIL,IND,1,8,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-01-02,MIL,BRK,0,-3,18.68,4,2,2,0,0,0,1,2,1,0,0,0,4,4,-12
2025-01-04,MIL,POR,0,-3,5.72,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1
2025-01-06,MIL,TOR,1,24,18.35,8,4,2,0,2,2,0,4,3,0,0,1,1,10,9
