Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,GSW,POR,1,36,14.48,4,3,1,0,2,2,0,1,3,2,0,0,0,8,26
2024-10-25,GSW,UTA,1,41,12.75,3,2,1,0,0,0,0,1,2,3,0,0,1,4,10
2024-10-27,GSW,LAC,0,-8,13.55,5,2,1,0,2,2,2,3,0,0,0,0,1,6,-3
2024-10-29,GSW,NOP,0,18,8.05,5,3,2,1,0,0,1,1,0,0,1,1,0,7,-3
2024-10-30,GSW,NOP,0,15,7.32,0,0,0,0,0,0,1,1,2,0,0,1,2,0,-5
2024-11-02,GSW,HOU,1,6,10.55,2,1,1,1,0,0,0,1,0,1,0,0,2,3,-2
2024-11-04,GSW,WAS,1,13,16.38,3,3,0,0,0,0,1,3,3,0,0,1,2,6,4
2024-11-06,GSW,BOS,1,6,18.3,4,3,1,0,0,1,2,3,1,1,2,2,2,6,7
2024-11-08,GSW,CLE,1,-19,9.8,4,4,0,0,0,1,1,2,1,0,1,0,2,8,-9
2024-11-10,GSW,OKC,1,11,12.28,3,3,0,0,1,2,1,1,1,0,0,1,5,7,2
2024-11-12,GSW,DAL,0,3,7.48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2024-11-15,GSW,MEM,0,5,10.63,2,1,1,0,0,0,1,3,0,1,0,2,0,2,-6
2024-11-18,GSW,LAC,1,-3,11.75,4,0,2,0,0,0,1,4,2,1,0,0,1,0,3
2024-11-20,GSW,ATL,0,23,6.42,4,3,1,0,0,0,0,2,0,0,0,0,0,6,7
