Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,BOS,NYK,0,23,24.97,10,1,9,1,0,0,1,4,4,0,0,1,2,3,7
2024-10-24,BOS,WAS,1,20,27.95,11,5,10,5,0,0,0,1,2,0,0,0,1,15,11
2024-10-26,BOS,DET,1,6,19.28,8,5,7,5,4,4,0,2,0,1,0,0,1,19,-5
2024-10-28,BOS,MIL,0,11,27.68,14,10,12,8,0,0,2,5,3,2,0,2,2,28,12
2024-10-30,BOS,IND,1,-3,38.57,14,5,11,4,2,2,2,4,4,1,0,1,2,16,8
2024-11-01,BOS,CHO,1,15,27.83,6,1,5,0,5,6,0,2,3,5,0,1,0,7,13
2024-11-02,BOS,CHO,1,10,29.1,15,8,12,6,0,0,1,3,2,0,0,1,3,22,7
2024-11-04,BOS,ATL,1,30,25.48,12,7,8,3,1,1,0,3,4,1,0,3,1,18,21
2024-11-06,BOS,GSW,0,-6,32.17,13,5,11,3,3,3,2,3,3,0,0,2,4,16,-8
2024-11-08,BOS,BRK,0,4,33.63,11,6,7,3,5,5,0,1,0,1,0,1,2,20,11
2024-11-10,BOS,MIL,1,6,22.83,10,6,8,5,1,1,1,1,3,0,0,3,1,18,-8
2024-11-12,BOS,ATL,0,-1,25.28,8,2,8,2,0,0,0,1,2,3,0,1,2,6,-9
2024-11-13,BOS,BRK,1,25,36.22,13,8,9,5,2,4,2,6,8,2,1,1,3,23,14
2024-11-16,BOS,TOR,0,3,23.88,8,2,7,2,0,0,0,0,1,0,0,0,2,6,6
2024-11-19,BOS,CLE,0,3,25.72,9,5,6,3,0,0,1,2,3,1,0,0,2,13,-14
2024-11-22,BOS,WAS,1,12,22.55,6,3,3,1,2,3,1,2,4,1,0,0,2,9,0
2024-11-24,BOS,MIN,0,2,22.35,7,3,5,1,1,1,1,4,3,0,0,0,2,8,-3
2024-11-25,BOS,LAC,0,32,25.77,13,7,10,6,0,0,0,2,4,2,0,1,0,20,30
2024-11-29,BOS,CHI,1,9,28.52,16,10,11,7,2,2,4,7,1,1,0,0,1,29,11
2024-12-01,BOS,CLE,1,-4,36.12,16,7,10,3,7,8,1,7,3,0,1,1,2,24,-11
2024-12-02,BOS,MIA,0,19,32.92,17,10,12,5,0,0,1,5,4,2,1,1,1,25,16
2024-12-04,BOS,DET,0,10,34.37,15,7,13,5,0,0,4,5,4,1,0,4,3,19,-1
2024-12-06,BOS,MIL,0,6,24.42,3,0,2,0,0,0,1,3,2,0,0,0,1,0,-4
2024-12-07,BOS,MEM,0,-6,29.98,12,7,11,6,2,4,2,6,2,1,0,1,1,22,8
2024-12-12,BOS,DET,0,24,31.0,20,10,15,7,0,0,0,4,10,0,0,1,0,27,22
2024-12-15,BOS,WAS,1,14,36.83,12,5,10,5,0,0,4,11,6,0,0,3,3,15,17
2024-12-19,BOS,CHI,0,-9,30.38,12,5,10,4,0,0,4,6,3,1,0,0,1,14,-10
