Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,DET,IND,0,-6,36.53,23,10,6,2,6,6,0,5,8,1,0,2,2,28,-10
2024-10-25,DET,CLE,1,-12,34.92,24,14,6,2,3,3,2,4,6,0,0,9,4,33,-14
2024-10-26,DET,BOS,0,-6,40.52,22,9,8,2,1,3,0,6,10,1,4,7,2,21,3
2024-10-28,DET,MIA,1,-8,34.87,18,9,7,4,2,3,1,8,6,2,1,5,4,24,-7
2024-10-30,DET,PHI,1,10,36.6,15,6,8,4,6,6,1,5,7,1,1,5,2,22,12
2024-11-01,DET,NYK,0,-30,32.08,19,10,4,2,0,0,0,6,6,0,1,1,1,22,-19
2024-11-03,DET,BRK,1,14,35.43,13,8,4,1,2,3,1,6,5,0,0,7,3,19,11
2024-11-04,DET,LAL,0,12,35.8,17,7,5,1,2,5,2,11,11,0,0,3,1,17,14
2024-11-06,DET,CHO,1,-1,37.7,23,9,4,0,2,2,1,10,10,0,0,2,5,20,-1
2024-11-08,DET,ATL,0,1,36.27,17,8,4,1,5,5,1,11,13,1,1,7,2,22,3
2024-11-10,DET,HOU,0,-2,36.03,21,10,4,2,4,6,0,8,9,0,1,4,3,26,-6
2024-11-12,DET,MIA,0,2,37.62,15,6,7,2,7,7,0,7,9,0,2,7,1,21,-2
2024-11-13,DET,MIL,1,-7,43.48,34,13,10,5,4,4,2,7,11,2,3,6,4,35,-4
2024-11-15,DET,TOR,1,4,36.47,21,6,9,2,1,2,2,6,10,1,0,4,2,15,-10
2024-11-17,DET,WAS,1,20,30.57,15,7,4,2,5,5,2,10,10,5,1,2,2,21,18
2024-11-18,DET,CHI,0,-10,36.28,17,8,7,4,6,9,0,6,10,0,0,3,3,26,-5
2024-11-21,DET,CHO,1,-2,36.77,26,9,9,2,7,9,4,7,10,1,0,5,2,27,-3
2024-11-29,DET,IND,1,24,32.97,19,10,6,4,0,0,0,6,11,2,0,6,3,24,13
