Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-02,DEN,UTA,0,26,14.17,7,3,0,0,0,2,6,9,1,0,0,4,2,6,-7
2024-11-04,DEN,TOR,0,2,6.15,1,1,0,0,0,0,1,4,1,0,1,1,1,2,3
2024-11-17,DEN,MEM,1,-15,14.28,3,2,0,0,0,0,0,2,0,0,0,0,1,4,-10
2024-11-19,DEN,MEM,1,12,7.65,4,2,0,0,0,0,2,2,0,1,0,0,1,4,5
2024-11-22,DEN,DAL,0,-3,4.87,2,1,0,0,1,2,1,1,0,0,0,0,1,3,-2
2024-11-23,DEN,LAL,1,25,4.72,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0
2024-11-25,DEN,NYK,0,-27,13.85,0,0,0,0,0,0,0,5,1,0,0,2,4,0,-5
2024-11-27,DEN,UTA,1,19,12.77,0,0,0,0,0,0,0,3,0,0,1,0,1,0,-1
2024-12-07,DEN,WAS,1,-9,9.3,1,0,0,0,1,4,1,3,2,0,0,2,0,1,-6
2024-12-08,DEN,ATL,1,30,10.12,2,2,0,0,0,0,0,4,2,0,0,1,0,4,0
2024-12-13,DEN,LAC,0,22,14.43,2,2,0,0,0,0,1,9,2,1,1,0,1,4,8
2024-12-16,DEN,SAC,1,1,9.7,1,0,0,0,0,0,0,2,3,1,1,1,2,0,-3
2024-12-19,DEN,POR,1,-2,11.38,2,1,0,0,0,0,2,7,0,0,1,0,2,2,3
