Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-02,DEN,UTA,0,26,14.17,7,3,0,0,0,2,6,9,1,0,0,4,2,6,-7
2024-11-04,DEN,TOR,0,2,6.15,1,1,0,0,0,0,1,4,1,0,1,1,1,2,3
2024-11-17,DEN,MEM,1,-15,14.28,3,2,0,0,0,0,0,2,0,0,0,0,1,4,-10
2024-11-19,DEN,MEM,1,12,7.65,4,2,0,0,0,0,2,2,0,1,0,0,1,4,5
2024-11-22,DEN,DAL,0,-3,4.87,2,1,0,0,1,2,1,1,0,0,0,0,1,3,-2
2024-11-23,DEN,LAL,1,25,4.72,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0
2024-11-25,DEN,NYK,0,-27,13.85,0,0,0,0,0,0,0,5,1,0,0,2,4,0,-5
2024-11-27,DEN,UTA,1,19,12.77,0,0,0,0,0,0,0,3,0,0,1,0,1,0,-1
2024-12-07,DEN,WAS,1,-9,9.3,1,0,0,0,1,4,1,3,2,0,0,2,0,1,-6
2024-12-08,DEN,ATL,1,30,10.12,2,2,0,0,0,0,0,4,2,0,0,1,0,4,0
2024-12-13,DEN,LAC,0,22,14.43,2,2,0,0,0,0,1,9,2,1,1,0,1,4,8
2024-12-16,DEN,SAC,1,1,9.7,1,0,0,0,0,0,0,2,3,1,1,1,2,0,-3
2024-12-19,DEN,POR,1,-2,11.38,2,1,0,0,0,0,2,7,0,0,1,0,2,2,3
2024-12-22,DEN,NOP,1,3,10.43,3,2,0,0,0,0,0,4,0,0,0,0,1,4,-3
2024-12-23,DEN,PHO,0,27,14.08,2,2,0,0,0,0,1,5,1,1,1,1,1,4,8
2024-12-25,DEN,PHO,1,-10,10.2,2,2,0,0,0,0,0,2,0,0,0,0,1,4,-7
2024-12-27,DEN,CLE,0,-14,10.65,4,2,0,0,0,1,3,7,1,0,2,0,3,4,-1
2024-12-28,DEN,DET,0,13,10.77,2,2,0,0,2,4,0,3,0,0,1,1,0,6,-12
2024-12-30,DEN,UTA,1,11,9.7,2,1,0,0,0,0,0,1,1,0,0,0,1,2,-9
2025-01-01,DEN,ATL,0,19,15.12,4,4,0,0,0,0,0,7,3,1,1,1,1,8,-6
2025-01-03,DEN,SAS,0,-3,4.13,1,0,0,0,0,0,1,2,0,0,0,0,0,0,-8
2025-01-04,DEN,SAS,1,11,9.68,4,1,0,0,1,2,3,6,0,0,0,1,2,3,4
2025-01-07,DEN,BOS,0,-12,19.65,1,0,0,0,1,2,2,5,1,0,0,1,2,1,1
2025-01-08,DEN,LAC,0,23,23.3,6,5,0,0,2,3,2,9,2,2,0,0,2,12,17
2025-01-10,DEN,BRK,0,19,9.82,3,1,0,0,0,2,1,4,0,1,0,0,2,2,-14
2025-01-12,DEN,DAL,1,11,9.37,3,3,0,0,0,1,2,5,0,0,1,0,0,6,13
2025-01-14,DEN,DAL,1,19,15.6,4,3,0,0,2,4,3,6,2,0,1,2,0,8,0
2025-01-15,DEN,HOU,0,-20,23.3,0,0,0,0,0,0,1,8,0,1,3,1,2,0,-19
2025-01-17,DEN,MIA,1,20,14.92,3,3,0,0,0,0,2,2,1,0,0,0,0,6,15
2025-01-19,DEN,ORL,1,13,15.73,6,2,0,0,0,0,2,7,0,0,0,3,4,4,-5
2025-01-21,DEN,PHI,0,35,13.48,1,1,0,0,2,2,1,6,1,0,1,1,3,4,7
2025-01-23,DEN,SAC,0,9,10.62,1,1,0,0,0,0,1,5,0,0,0,1,1,2,-2
2025-01-25,DEN,MIN,1,-29,5.82,2,2,0,0,0,0,4,6,0,0,0,0,1,4,2
2025-01-29,DEN,NYK,1,-10,8.43,2,1,0,0,0,0,1,3,1,0,0,0,1,2,0
2025-02-03,DEN,NOP,0,12,11.93,3,2,0,0,0,0,2,3,0,0,1,0,0,4,1
2025-02-05,DEN,NOP,0,25,10.18,1,1,0,0,0,0,0,4,2,0,0,0,0,2,-3
2025-02-06,DEN,ORL,0,22,12.05,4,4,0,0,0,0,3,7,1,0,0,3,1,8,11
2025-02-08,DEN,PHO,1,17,16.65,5,2,0,0,0,0,4,11,1,0,1,0,2,4,2
2025-02-10,DEN,POR,0,29,13.05,2,2,0,0,1,2,0,2,2,1,0,0,2,5,7
2025-02-12,DEN,POR,0,11,11.95,1,0,0,0,0,0,1,5,2,0,1,1,3,0,5
2025-02-20,DEN,CHO,0,14,11.08,2,2,0,0,0,0,2,7,0,0,0,1,1,4,0
2025-02-22,DEN,LAL,0,-23,4.1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,-1
2025-02-24,DEN,IND,1,9,9.47,1,0,0,0,1,2,3,5,0,1,1,3,1,1,-8
2025-02-27,DEN,MIL,1,-9,10.25,1,1,0,0,0,0,1,5,0,0,0,0,1,2,-1
2025-02-28,DEN,DET,1,15,10.23,3,2,0,0,0,2,2,6,0,0,0,1,1,4,-9
2025-03-02,DEN,BOS,1,-7,8.62,1,0,0,0,1,2,2,3,0,0,0,0,0,1,-7
