Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,NYK,BOS,1,-23,25.85,10,8,5,4,2,3,0,0,2,0,0,1,1,22,-18
2024-10-25,NYK,IND,0,25,20.62,4,3,2,2,0,0,0,2,2,0,0,2,3,8,7
2024-10-28,NYK,CLE,0,-6,29.13,12,6,6,2,0,0,1,3,4,0,0,1,2,14,-3
2024-10-30,NYK,MIA,1,9,25.03,8,3,5,2,2,2,1,3,2,2,1,2,1,10,-3
2024-11-01,NYK,DET,1,30,28.33,12,4,8,2,0,1,1,3,2,4,0,0,2,10,14
2024-11-04,NYK,HOU,1,-12,26.28,9,0,5,0,0,0,0,0,2,2,1,0,3,0,10
2024-11-06,NYK,ATL,1,-5,28.43,9,5,6,4,2,2,0,4,7,0,1,3,3,16,13
2024-11-08,NYK,MIL,0,22,28.02,11,5,6,2,2,2,1,5,2,0,0,0,0,14,21
2024-11-10,NYK,IND,1,-11,29.32,9,3,5,1,0,0,0,1,1,2,0,1,3,7,-5
2024-11-12,NYK,PHI,1,12,25.87,12,6,8,3,0,0,0,3,2,2,0,1,1,15,12
2024-11-13,NYK,CHI,0,-1,23.2,4,1,2,0,0,0,0,1,2,0,0,1,0,2,10
2024-11-25,NYK,DEN,1,27,27.75,9,5,6,3,0,0,2,6,3,1,0,0,4,13,10
2024-11-27,NYK,DAL,1,-15,15.32,2,1,1,0,3,3,0,2,2,1,1,0,1,5,-3
2024-11-29,NYK,CHO,1,1,26.58,9,5,5,2,2,2,2,5,1,0,0,0,0,14,4
2024-12-01,NYK,NOP,0,33,21.67,9,5,4,3,0,0,1,2,3,1,0,2,2,13,18
2024-12-03,NYK,ORL,0,15,25.73,11,5,7,5,3,3,1,3,4,1,0,2,3,18,-2
2024-12-05,NYK,CHO,0,24,27.65,5,2,4,2,4,4,0,1,6,0,0,0,1,10,13
2024-12-07,NYK,DET,0,-9,26.95,7,3,5,1,1,2,0,2,2,1,1,3,2,8,-14
2024-12-09,NYK,TOR,1,5,26.32,6,3,4,2,0,0,1,3,5,1,0,1,1,8,8
2024-12-11,NYK,ATL,0,-8,19.88,8,2,6,1,0,0,0,2,3,0,0,1,1,5,0
2024-12-15,NYK,ORL,1,9,20.63,6,2,2,2,1,2,1,2,1,0,0,0,2,7,6
2024-12-19,NYK,MIN,1,26,28.93,13,6,9,4,0,0,2,5,8,1,0,1,0,16,23
2024-12-21,NYK,NOP,1,11,15.93,6,1,3,0,0,0,1,2,1,1,0,0,0,2,-10
2024-12-23,NYK,TOR,0,14,25.23,8,5,4,2,0,1,1,4,5,2,0,1,3,12,7
2024-12-25,NYK,SAS,0,3,29.78,10,2,6,2,2,2,1,3,2,0,0,0,1,8,0
2024-12-27,NYK,ORL,1,23,21.75,4,1,1,0,3,4,2,5,3,0,0,2,1,5,17
2024-12-28,NYK,WAS,1,4,19.1,5,1,4,1,0,0,0,0,1,0,1,0,2,3,-3
2024-12-30,NYK,WAS,1,20,17.77,8,3,3,1,1,2,2,2,6,3,0,0,2,8,6
2025-01-10,NYK,OKC,0,-25,19.95,9,3,4,0,1,1,4,5,5,0,0,0,1,7,-21
2025-01-12,NYK,MIL,0,34,19.67,7,2,6,2,0,0,0,0,2,0,0,0,1,6,7
2025-01-13,NYK,DET,0,-5,16.65,2,1,2,1,0,0,1,1,2,0,0,0,0,3,4
2025-01-15,NYK,PHI,1,6,21.78,5,4,4,3,2,2,1,3,3,1,0,0,1,13,5
2025-01-17,NYK,MIN,0,-17,19.17,6,2,4,0,0,0,0,0,0,1,0,1,0,4,1
2025-01-20,NYK,ATL,0,9,20.42,10,4,5,1,0,0,2,3,3,1,0,1,4,9,15
2025-01-21,NYK,BRK,1,4,18.48,6,3,3,1,0,0,0,1,1,0,0,0,1,7,-6
2025-01-25,NYK,SAC,0,23,16.57,8,1,4,0,2,2,0,1,1,0,0,1,1,4,16
2025-01-27,NYK,MEM,0,37,23.6,13,6,7,2,0,0,2,4,4,3,1,0,3,14,8
2025-01-29,NYK,DEN,0,10,21.52,9,5,5,2,0,0,0,2,4,0,0,0,0,12,9
2025-02-01,NYK,LAL,0,-16,22.93,9,4,7,3,1,1,1,3,1,1,0,0,1,12,-6
2025-02-03,NYK,HOU,0,6,25.57,7,3,4,1,0,0,0,1,1,1,0,1,1,7,-2
2025-02-04,NYK,TOR,1,6,20.55,5,2,1,0,0,0,0,0,1,2,0,0,0,4,0
2025-02-08,NYK,BOS,0,-27,35.0,8,1,5,1,5,5,0,1,1,4,0,0,2,8,-10
2025-02-11,NYK,IND,1,13,25.32,7,4,4,4,3,3,0,3,1,0,0,1,2,15,25
2025-02-12,NYK,ATL,0,1,8.17,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
