Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,NYK,BOS,1,-23,25.85,10,8,5,4,2,3,0,0,2,0,0,1,1,22,-18
2024-10-25,NYK,IND,0,25,20.62,4,3,2,2,0,0,0,2,2,0,0,2,3,8,7
2024-10-28,NYK,CLE,0,-6,29.13,12,6,6,2,0,0,1,3,4,0,0,1,2,14,-3
2024-10-30,NYK,MIA,1,9,25.03,8,3,5,2,2,2,1,3,2,2,1,2,1,10,-3
2024-11-01,NYK,DET,1,30,28.33,12,4,8,2,0,1,1,3,2,4,0,0,2,10,14
2024-11-04,NYK,HOU,1,-12,26.28,9,0,5,0,0,0,0,0,2,2,1,0,3,0,10
2024-11-06,NYK,ATL,1,-5,28.43,9,5,6,4,2,2,0,4,7,0,1,3,3,16,13
2024-11-08,NYK,MIL,0,22,28.02,11,5,6,2,2,2,1,5,2,0,0,0,0,14,21
2024-11-10,NYK,IND,1,-11,29.32,9,3,5,1,0,0,0,1,1,2,0,1,3,7,-5
2024-11-12,NYK,PHI,1,12,25.87,12,6,8,3,0,0,0,3,2,2,0,1,1,15,12
2024-11-13,NYK,CHI,0,-1,23.2,4,1,2,0,0,0,0,1,2,0,0,1,0,2,10
2024-11-25,NYK,DEN,1,27,27.75,9,5,6,3,0,0,2,6,3,1,0,0,4,13,10
2024-11-27,NYK,DAL,1,-15,15.32,2,1,1,0,3,3,0,2,2,1,1,0,1,5,-3
2024-11-29,NYK,CHO,1,1,26.58,9,5,5,2,2,2,2,5,1,0,0,0,0,14,4
