Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,NOP,POR,1,2,29.1,15,4,1,0,8,14,3,11,7,1,3,1,3,16,7
2024-10-27,NOP,POR,1,-22,28.03,12,3,0,0,8,10,2,3,4,0,1,3,3,14,-5
2024-10-29,NOP,GSW,1,-18,30.4,19,12,2,1,6,8,2,8,3,0,1,7,3,31,-14
2024-10-30,NOP,GSW,1,-15,32.73,20,5,1,0,2,7,6,12,4,0,1,4,3,12,-16
2024-11-01,NOP,IND,0,7,36.9,20,14,2,1,5,8,1,6,10,2,0,3,3,34,17
2024-11-06,NOP,CLE,0,-9,29.2,18,9,0,0,11,13,2,8,4,1,1,4,3,29,-3
2025-01-07,NOP,MIN,0,-7,27.67,15,9,2,0,4,9,4,6,4,3,1,4,3,22,8
2025-01-12,NOP,BOS,1,-1,28.12,15,5,2,0,6,7,1,7,3,5,0,2,1,16,4
2025-01-14,NOP,CHI,1,6,23.88,14,10,0,0,1,4,5,7,9,0,1,4,3,21,7
2025-01-17,NOP,UTA,0,13,22.58,21,11,0,0,2,5,8,14,6,0,3,2,4,24,5
2025-01-25,NOP,CHO,1,-31,26.18,20,11,0,0,6,8,3,11,2,1,1,4,4,28,-20
2025-01-27,NOP,TOR,1,-9,27.47,18,13,0,0,5,8,0,7,2,0,3,3,4,31,-11
2025-01-29,NOP,DAL,0,-1,28.23,18,11,1,0,7,9,4,6,7,2,0,2,1,29,7
2025-02-03,NOP,DEN,1,-12,28.35,13,5,0,0,4,6,1,6,5,1,1,1,3,14,1
2025-02-05,NOP,DEN,1,-25,26.78,19,11,0,0,6,9,2,6,4,2,0,3,0,28,-5
2025-02-08,NOP,SAC,1,-5,27.85,21,16,0,0,8,11,1,4,4,2,0,3,4,40,4
2025-02-10,NOP,OKC,1,-36,26.05,11,6,0,0,5,9,1,2,5,1,0,5,5,17,-26
2025-02-12,NOP,SAC,0,-8,27.77,18,13,1,1,6,9,3,9,7,2,0,1,4,33,13
2025-02-21,NOP,DAL,1,-8,27.37,15,11,0,0,7,11,3,7,3,2,0,3,3,29,0
2025-02-23,NOP,SAS,0,18,27.87,17,8,0,0,6,10,2,9,3,2,2,1,1,22,23
