Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIA,ORL,0,-19,6.25,1,0,1,0,0,0,0,1,0,0,0,1,1,0,13
2024-11-02,MIA,WAS,1,20,2.43,3,1,1,0,0,0,0,2,0,0,0,0,0,2,-2
2024-11-06,MIA,PHO,1,-3,13.58,6,3,1,1,0,0,0,3,0,2,1,1,2,7,-3
2024-11-08,MIA,DEN,1,-13,2.15,1,0,0,0,0,0,0,0,0,0,0,0,2,0,-6
2024-11-10,MIA,MIN,1,1,9.03,3,2,0,0,0,0,0,0,0,0,3,1,0,4,-14
2024-11-12,MIA,DET,1,-2,9.45,4,2,2,1,0,0,0,2,0,0,0,0,1,5,-3
2024-11-15,MIA,IND,1,13,3.65,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-5
2024-11-18,MIA,PHI,0,17,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-26,MIA,MIL,0,-3,9.42,4,1,0,0,0,0,2,3,1,0,0,0,0,2,11
2024-11-27,MIA,CHO,1,4,12.02,2,1,1,0,2,2,0,4,0,1,1,1,0,4,1
