Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MEM,UTA,1,2,31.43,16,10,10,5,2,2,2,5,2,0,0,2,2,27,8
2024-10-25,MEM,HOU,1,-20,22.37,2,0,1,0,2,2,0,5,3,0,2,2,2,2,-13
2024-10-26,MEM,ORL,0,13,27.65,12,9,6,4,0,0,0,7,5,0,1,2,0,22,8
2024-10-28,MEM,CHI,0,-3,35.02,13,5,5,1,0,0,4,13,7,0,1,1,0,11,-6
2024-10-30,MEM,BRK,0,-13,22.05,5,1,2,0,0,0,0,3,0,2,0,1,2,2,-17
2024-10-31,MEM,MIL,0,23,33.1,14,7,4,1,4,4,2,9,2,1,0,3,1,19,9
2024-11-02,MEM,PHI,1,17,34.82,12,5,5,0,0,0,1,13,4,1,1,1,1,10,13
2024-11-04,MEM,BRK,1,-2,31.28,12,4,6,0,1,1,2,6,5,0,0,2,1,9,-6
2024-11-06,MEM,LAL,0,17,31.33,10,4,5,1,2,2,3,12,3,1,0,0,1,11,11
2024-11-08,MEM,WAS,0,24,32.47,13,5,5,0,2,2,1,5,4,1,0,1,1,12,24
2024-11-10,MEM,POR,1,45,29.95,11,7,4,2,0,0,1,6,6,2,0,2,2,16,33
2024-11-13,MEM,LAL,1,-5,29.45,14,6,7,2,1,2,3,7,5,3,1,0,2,15,8
2024-11-15,MEM,GSW,1,-5,15.98,8,2,3,0,0,0,2,3,0,0,1,0,1,4,-10
2024-11-17,MEM,DEN,0,15,19.53,6,3,3,0,0,0,0,2,2,2,1,1,0,6,1
2024-11-19,MEM,DEN,0,-12,33.27,19,12,7,4,0,1,2,11,0,1,0,3,1,28,7
2024-11-20,MEM,PHI,0,6,26.9,9,4,3,2,2,2,1,6,6,0,0,3,0,12,3
2024-11-23,MEM,CHI,1,11,23.6,10,4,4,1,1,2,3,10,5,2,0,3,2,10,12
2024-11-25,MEM,POR,0,25,22.02,12,6,1,1,0,1,7,17,2,0,0,1,1,13,6
2024-11-27,MEM,DET,0,20,22.52,7,4,3,1,0,0,1,6,1,0,0,0,1,9,-3
2024-11-29,MEM,NOP,0,11,27.3,9,8,3,3,1,2,0,6,4,0,1,2,2,20,12
2024-12-01,MEM,IND,0,15,25.17,9,6,5,3,0,0,1,4,6,1,0,0,2,15,4
2024-12-03,MEM,DAL,1,-5,28.7,8,7,2,1,0,0,2,8,3,2,1,1,1,15,0
2024-12-05,MEM,SAC,0,5,29.13,8,6,3,3,0,1,2,10,0,3,0,0,1,15,23
2024-12-07,MEM,BOS,1,6,16.7,5,2,2,1,4,4,1,6,1,0,0,0,1,9,-5
2024-12-08,MEM,WAS,1,28,19.82,11,7,5,3,2,3,1,7,5,1,3,1,1,19,9
2024-12-13,MEM,BRK,0,16,25.77,11,6,9,5,3,5,0,6,0,0,0,2,0,20,12
