Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,SAS,DAL,1,-11,29.18,10,7,5,2,1,2,1,4,2,1,0,0,2,17,-12
2024-10-26,SAS,HOU,0,3,27.7,6,4,3,2,1,1,0,3,1,0,1,0,0,11,3
2024-10-28,SAS,HOU,0,-5,28.83,3,0,1,0,2,2,1,3,0,0,0,2,1,2,-6
2024-10-30,SAS,OKC,1,-12,29.68,12,7,3,2,2,2,4,4,1,1,0,1,0,18,-8
2024-10-31,SAS,UTA,1,18,24.37,6,2,3,0,4,4,0,2,0,0,1,0,0,8,13
2024-11-02,SAS,MIN,0,10,37.93,10,6,5,2,0,0,1,3,3,1,0,0,0,14,7
2024-11-04,SAS,LAC,1,-9,37.57,4,1,3,0,2,2,5,6,3,0,0,0,1,4,9
2024-11-06,SAS,HOU,1,-27,18.3,4,1,1,0,0,0,0,1,1,0,0,2,0,2,-11
2024-11-07,SAS,POR,0,13,23.93,9,4,4,1,2,4,4,7,2,0,0,2,1,11,2
2024-11-09,SAS,UTA,0,-1,27.2,7,4,4,2,0,0,1,2,2,0,0,3,1,10,3
2024-11-11,SAS,SAC,0,20,30.05,6,3,3,1,3,3,0,5,2,0,0,1,1,10,14
2024-11-13,SAS,WAS,0,9,30.15,5,2,2,2,4,4,2,7,2,0,1,0,2,10,19
2024-11-15,SAS,LAL,0,-5,27.2,3,2,1,1,3,4,1,4,0,1,0,0,1,8,14
2024-11-16,SAS,DAL,1,-17,23.67,6,1,4,1,1,2,1,3,2,0,0,1,0,4,-25
2024-11-19,SAS,OKC,0,6,32.02,13,6,7,3,5,8,2,8,2,1,0,0,0,20,17
2024-11-21,SAS,UTA,0,8,36.42,13,8,5,4,5,6,5,10,1,0,0,0,1,25,11
2024-11-23,SAS,GSW,0,10,31.7,8,7,3,2,6,8,2,8,2,1,1,0,1,22,-4
