Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DEN,OKC,0,-15,1.63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02,DEN,UTA,0,26,4.13,3,3,0,0,0,0,0,0,1,0,1,0,3,6,2
2024-11-04,DEN,TOR,0,2,13.77,3,1,1,0,0,0,1,1,1,0,1,0,0,2,-2
2024-11-06,DEN,OKC,0,2,10.0,2,1,1,0,1,2,1,2,0,0,0,0,0,3,-7
2024-11-08,DEN,MIA,0,13,3.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-10
2024-11-10,DEN,DAL,0,2,9.98,2,1,1,0,0,2,0,2,1,0,0,0,1,2,-11
2024-11-15,DEN,NOP,1,-7,5.72,2,0,1,0,0,0,0,0,0,1,0,0,0,0,-15
2024-11-17,DEN,MEM,1,-15,1.37,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2024-11-19,DEN,MEM,1,12,5.53,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-6
2024-11-23,DEN,LAL,1,25,2.73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2024-11-25,DEN,NYK,0,-27,3.1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-3
2024-11-27,DEN,UTA,1,19,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,DEN,GSW,0,4,5.37,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-11
2024-12-05,DEN,CLE,1,-12,2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
2024-12-08,DEN,ATL,1,30,2.83,2,1,0,0,0,1,0,0,0,0,0,0,0,2,5
