Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-01-04,BRK,PHI,0,-29,20.68,4,1,4,1,0,2,0,1,1,0,1,1,3,3,-11
2025-01-06,BRK,IND,0,-14,23.98,7,4,1,0,0,2,0,6,1,0,1,2,2,8,2
2025-01-08,BRK,DET,0,-15,29.02,7,4,1,0,5,5,3,7,1,1,0,1,0,13,-7
2025-01-10,BRK,DEN,1,-19,22.48,9,4,5,2,0,0,1,2,1,1,1,2,2,10,8
2025-01-12,BRK,UTA,1,-1,23.88,8,7,3,2,6,9,1,5,1,0,0,2,2,22,-2
2025-01-14,BRK,POR,1,18,18.33,6,4,2,1,1,2,1,4,1,0,0,0,3,10,10
2025-01-15,BRK,LAC,1,-59,28.72,8,3,1,0,1,1,1,3,2,1,0,4,3,7,-24
2025-01-17,BRK,LAL,1,-1,26.55,10,6,4,1,2,2,3,6,2,1,0,2,2,15,-3
2025-01-19,BRK,OKC,1,-26,20.73,7,4,3,1,0,1,0,4,2,0,1,2,2,9,-9
2025-01-21,BRK,NYK,0,-4,20.4,6,1,2,0,3,3,2,6,1,0,0,1,2,5,1
2025-01-22,BRK,PHO,0,-24,26.42,15,2,5,0,2,2,1,3,2,2,0,3,1,6,-9
2025-01-25,BRK,MIA,0,-9,20.63,4,0,1,0,2,2,0,1,1,1,0,2,1,2,-3
2025-01-27,BRK,SAC,0,-14,29.3,10,5,1,1,4,4,3,8,2,2,0,5,1,15,10
2025-01-29,BRK,CHO,1,21,30.17,8,4,5,3,3,4,0,4,1,1,0,1,2,14,22
2025-02-01,BRK,HOU,1,12,26.85,6,3,1,1,0,0,1,2,4,0,0,0,1,7,-4
2025-02-04,BRK,HOU,0,2,27.67,11,7,1,0,0,0,1,4,4,2,0,2,4,14,7
2025-02-05,BRK,WAS,0,-17,27.32,11,6,3,1,2,4,1,5,1,0,1,0,3,15,-8
2025-02-07,BRK,MIA,0,16,20.12,6,1,2,0,3,4,1,3,2,0,2,0,1,5,14
2025-02-10,BRK,CHO,0,8,26.23,7,2,4,1,2,2,2,6,1,3,0,1,2,7,0
2025-02-12,BRK,PHI,0,4,16.57,6,1,2,0,0,0,2,2,2,1,0,0,1,2,5
