Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,BOS,NYK,0,23,29.9,18,7,9,5,4,4,2,7,1,1,0,1,3,23,23
2024-10-24,BOS,WAS,1,20,30.3,20,10,6,3,4,5,1,8,3,4,0,2,1,27,22
2024-10-26,BOS,DET,1,6,38.15,24,6,9,3,9,10,3,10,5,1,0,2,2,24,11
2024-10-28,BOS,MIL,0,11,38.0,19,10,4,0,10,14,1,6,4,0,0,4,2,30,8
2024-10-30,BOS,IND,1,-3,43.13,30,11,11,1,2,4,0,6,5,2,2,3,4,25,-13
2024-11-01,BOS,CHO,1,15,36.5,19,8,6,0,9,10,3,6,5,1,1,1,3,25,11
2024-11-10,BOS,MIL,1,6,37.42,13,4,5,1,5,6,0,5,4,0,0,1,3,14,6
2024-11-12,BOS,ATL,0,-1,35.93,22,14,6,3,6,10,2,5,2,1,0,6,3,37,0
2024-11-13,BOS,BRK,1,25,36.03,19,8,5,2,6,9,2,12,4,1,0,0,2,24,27
2024-11-16,BOS,TOR,0,3,42.95,16,8,7,2,9,10,2,6,7,0,1,3,5,27,2
2024-11-19,BOS,CLE,0,3,37.35,17,7,7,2,1,2,0,3,8,1,0,4,5,17,17
2024-11-22,BOS,WAS,1,12,37.2,27,11,13,3,6,8,3,11,5,0,0,3,3,31,4
