Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-26,MEM,ORL,0,13,22.55,10,4,2,0,5,9,1,4,1,1,0,1,3,13,26
2024-10-28,MEM,CHI,0,-3,24.47,16,9,4,1,0,2,2,6,1,1,3,2,3,19,15
2024-10-30,MEM,BRK,0,-13,28.3,12,10,3,3,7,10,0,4,0,3,0,2,4,30,-1
2024-10-31,MEM,MIL,0,23,26.15,12,5,4,0,3,3,0,5,2,0,0,3,4,13,4
2024-11-02,MEM,PHI,1,17,31.0,16,11,3,2,3,4,2,6,0,3,2,0,3,27,10
2024-11-04,MEM,BRK,1,-2,32.43,11,5,5,3,2,2,2,5,1,1,2,3,4,15,-8
2024-11-06,MEM,LAL,0,17,32.1,13,8,4,1,3,3,1,6,1,0,3,1,2,20,22
2024-11-08,MEM,WAS,0,24,28.33,28,14,12,5,6,7,2,6,1,1,1,3,4,39,19
2024-11-10,MEM,POR,1,45,23.57,12,6,7,3,5,6,0,7,2,3,0,4,1,20,21
2024-11-13,MEM,LAL,1,-5,33.28,20,10,7,2,7,8,1,7,1,2,1,2,5,29,-1
2024-11-15,MEM,GSW,1,-5,32.88,20,11,4,0,10,11,1,6,1,1,2,1,2,32,-5
2024-11-17,MEM,DEN,0,15,30.83,16,7,5,2,4,4,2,6,2,1,3,1,1,20,15
2024-11-19,MEM,DEN,0,-12,28.7,17,7,8,2,3,5,2,8,1,1,5,7,4,19,-15
2024-11-20,MEM,PHI,0,6,30.45,15,8,5,2,7,7,2,4,1,1,2,2,5,25,-6
2024-11-23,MEM,CHI,1,11,26.1,15,7,7,3,6,8,2,4,4,1,2,1,3,23,4
2024-11-25,MEM,POR,0,25,28.47,12,8,2,2,3,3,2,6,1,1,3,4,3,21,17
2024-11-27,MEM,DET,0,20,22.23,16,5,7,0,2,3,3,6,2,2,1,2,3,12,10
2024-11-29,MEM,NOP,0,11,28.28,18,9,5,0,5,5,3,8,1,1,2,1,3,23,3
2024-12-01,MEM,IND,0,15,29.33,14,8,6,3,6,6,0,8,0,2,3,1,2,25,18
2024-12-03,MEM,DAL,1,-5,29.37,14,5,7,2,4,4,0,7,2,1,1,3,6,16,-11
2024-12-05,MEM,SAC,0,5,25.32,9,5,1,0,5,5,0,2,2,2,0,4,3,15,-17
2024-12-07,MEM,BOS,1,6,34.02,19,11,4,3,2,4,1,9,1,3,4,0,4,27,9
2024-12-08,MEM,WAS,1,28,16.77,15,8,8,3,2,4,1,4,1,0,4,1,3,21,18
2024-12-13,MEM,BRK,0,16,32.37,17,7,6,3,3,4,2,7,2,5,0,0,1,20,26
2024-12-15,MEM,LAL,1,-6,29.07,13,9,3,2,5,6,1,5,2,1,0,2,6,25,-13
2024-12-19,MEM,GSW,0,51,19.6,10,5,2,1,6,6,1,6,5,1,1,0,2,17,28
2024-12-21,MEM,ATL,1,16,25.25,17,6,5,1,0,0,0,5,1,1,1,3,5,13,-1
