Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DEN,OKC,0,-15,21.25,10,2,6,1,1,4,1,5,5,1,2,2,0,6,-24
2024-10-26,DEN,LAC,0,-5,19.1,8,0,3,0,2,2,0,1,2,2,1,0,4,2,-13
2024-10-28,DEN,TOR,1,2,17.97,7,3,1,0,3,4,1,4,3,1,0,2,4,9,-1
2024-10-29,DEN,BRK,1,5,20.57,12,5,2,2,10,10,0,1,5,1,0,1,2,22,0
2024-11-01,DEN,MIN,1,-3,25.33,8,1,3,0,3,4,3,6,5,2,1,4,2,5,-13
2024-11-02,DEN,UTA,0,26,31.4,11,2,4,1,0,4,1,3,7,5,0,4,4,5,12
2024-11-04,DEN,TOR,0,2,34.05,10,6,5,1,8,10,1,6,6,1,1,4,4,21,-3
2024-11-06,DEN,OKC,0,2,32.17,15,10,4,3,6,9,1,6,6,1,0,4,4,29,-14
2024-11-08,DEN,MIA,0,13,24.03,5,2,3,2,0,0,0,4,10,0,1,2,2,6,-5
2024-11-10,DEN,DAL,0,2,19.83,10,3,2,0,0,0,2,5,5,1,0,2,2,6,-13
2024-11-15,DEN,NOP,1,-7,21.88,8,2,3,1,0,0,1,4,7,0,0,1,3,5,-1
2024-11-17,DEN,MEM,1,-15,23.17,10,4,3,2,2,4,0,3,3,1,1,3,1,12,-10
2024-11-19,DEN,MEM,1,12,32.37,12,5,4,1,1,2,1,10,14,2,1,5,3,12,-1
2024-11-22,DEN,DAL,0,-3,26.83,13,5,6,4,2,5,0,1,4,2,0,1,2,16,0
2024-11-23,DEN,LAL,1,25,24.28,10,6,4,1,1,2,2,7,11,1,0,3,3,14,17
2024-11-25,DEN,NYK,0,-27,25.52,16,9,7,4,5,5,1,3,3,2,1,3,1,27,-16
2024-11-27,DEN,UTA,1,19,19.43,9,3,4,1,3,4,0,1,5,2,1,3,0,10,6
2024-12-01,DEN,LAC,1,-4,24.63,11,3,5,1,2,4,0,3,8,2,1,0,2,9,-7
2024-12-03,DEN,GSW,0,4,22.58,7,3,3,1,0,0,0,1,5,0,0,1,3,7,-10
2024-12-05,DEN,CLE,1,-12,15.92,9,4,3,1,1,2,1,3,3,1,1,2,1,10,-15
2024-12-07,DEN,WAS,1,-9,32.12,6,3,2,0,1,4,1,10,12,4,1,2,5,7,-9
2024-12-08,DEN,ATL,1,30,30.7,6,4,3,1,0,1,0,1,11,2,1,4,3,9,12
2024-12-13,DEN,LAC,0,22,24.3,9,2,3,0,1,2,0,1,5,3,0,4,2,5,21
2024-12-16,DEN,SAC,1,1,34.75,13,8,3,0,2,4,3,9,10,3,0,3,3,18,3
2024-12-19,DEN,POR,1,-2,33.2,12,8,4,2,1,2,2,4,7,1,2,3,3,19,7
2024-12-22,DEN,NOP,1,3,35.8,14,9,4,1,2,4,3,5,5,3,1,5,3,21,6
2024-12-23,DEN,PHO,0,27,24.8,12,5,5,1,0,0,3,5,7,2,0,3,2,11,10
2024-12-25,DEN,PHO,1,-10,27.17,12,6,4,1,4,7,1,6,2,1,0,4,1,17,3
2024-12-27,DEN,CLE,0,-14,29.52,13,5,5,1,0,0,0,4,7,1,0,4,3,11,-13
2024-12-28,DEN,DET,0,13,30.53,6,4,1,0,0,0,2,9,8,2,0,6,4,8,13
2024-12-30,DEN,UTA,1,11,32.73,7,7,0,0,2,2,3,10,10,4,0,0,3,16,23
2025-01-01,DEN,ATL,0,19,25.62,6,5,2,1,5,5,0,2,11,0,0,2,3,16,24
2025-01-03,DEN,SAS,0,-3,31.23,7,4,2,1,0,2,1,6,8,2,0,3,5,9,6
2025-01-04,DEN,SAS,1,11,36.27,11,4,4,1,0,0,4,10,6,3,1,1,3,9,5
2025-01-07,DEN,BOS,0,-12,33.43,18,9,9,4,4,5,3,9,6,1,1,8,2,26,-10
2025-01-08,DEN,LAC,0,23,29.43,16,8,5,1,2,5,2,6,8,0,0,3,3,19,18
2025-01-10,DEN,BRK,0,19,36.37,17,8,5,2,7,9,4,11,10,1,1,2,3,25,21
2025-01-12,DEN,DAL,1,11,33.65,17,10,2,0,1,3,2,10,7,1,2,4,3,21,-3
2025-01-14,DEN,DAL,1,19,26.25,11,3,3,1,2,2,2,6,3,2,1,4,2,9,22
2025-01-15,DEN,HOU,0,-20,24.68,14,6,5,3,2,2,3,4,2,1,0,5,3,17,-15
2025-01-17,DEN,MIA,1,20,26.27,7,4,4,3,0,0,0,0,7,0,0,0,1,11,12
2025-01-19,DEN,ORL,1,13,25.05,9,5,3,1,1,2,1,5,6,0,0,5,1,12,9
2025-01-21,DEN,PHI,0,35,25.02,5,4,2,1,2,2,0,7,9,1,0,5,0,11,20
2025-01-23,DEN,SAC,0,9,31.62,10,7,4,2,2,6,1,5,3,1,0,3,1,18,2
2025-01-25,DEN,MIN,1,-29,27.68,10,6,3,0,1,1,2,6,4,2,0,4,4,13,-17
2025-01-27,DEN,CHI,1,-8,34.73,10,6,1,0,2,2,2,3,5,1,0,2,2,14,6
2025-01-29,DEN,NYK,1,-10,37.22,11,5,2,0,4,6,5,14,4,0,1,4,4,14,-5
2025-01-31,DEN,PHI,1,3,25.1,3,2,1,0,0,0,0,0,7,2,0,6,2,4,1
