Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-27,MIL,BRK,1,-13,3.43,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4
2024-10-28,MIL,BOS,1,-11,8.52,3,2,1,0,0,0,1,3,2,0,0,1,4,4,4
2024-10-31,MIL,MEM,1,-23,18.78,2,1,1,0,0,2,1,5,1,2,1,2,5,2,8
2024-11-02,MIL,CLE,0,-1,15.47,3,1,2,1,0,0,0,1,1,0,0,3,3,3,-8
2024-11-04,MIL,CLE,1,-2,24.92,7,2,5,2,1,2,1,7,2,0,1,2,0,7,7
2024-11-07,MIL,UTA,0,23,28.32,4,3,1,1,0,0,0,3,4,4,0,0,4,7,19
2024-11-08,MIL,NYK,1,-22,17.53,3,1,3,1,0,0,0,0,1,0,1,1,1,3,-22
2024-11-10,MIL,BOS,0,-6,22.58,3,0,2,0,1,2,1,3,2,0,0,3,3,1,-4
2024-11-12,MIL,TOR,0,14,18.37,2,1,1,0,0,0,0,2,2,1,1,2,3,2,18
2024-11-13,MIL,DET,0,7,30.52,4,2,1,0,0,0,0,2,2,1,0,1,4,4,23
2024-11-16,MIL,CHO,1,-1,32.58,6,4,5,4,2,2,0,2,1,0,0,3,4,14,-8
2024-11-18,MIL,HOU,0,1,4.83,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-8
2024-11-20,MIL,CHI,0,16,13.85,2,0,1,0,0,0,3,4,1,0,0,2,3,0,5
2024-11-22,MIL,IND,0,12,20.2,5,0,1,0,0,0,2,6,1,2,1,2,3,0,18
2024-11-23,MIL,CHO,0,6,20.6,4,2,1,1,0,0,3,6,4,0,0,0,0,5,-5
2024-11-26,MIL,MIA,1,3,26.43,4,3,1,0,0,0,0,9,1,1,1,2,3,6,11
