Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,19.7,5,2,3,1,0,0,1,8,1,2,0,0,3,5,8
2024-10-25,CLE,DET,0,12,26.78,9,7,7,5,0,1,0,5,1,2,0,0,2,19,14
2024-10-26,CLE,WAS,1,19,18.75,4,1,3,0,0,0,0,5,1,1,0,0,3,2,15
2024-10-28,CLE,NYK,1,6,28.22,5,0,5,0,1,2,1,3,4,0,0,0,1,1,-14
2024-10-30,CLE,LAL,0,24,26.45,7,3,6,2,0,2,0,3,2,3,0,1,2,8,11
2024-11-01,CLE,ORL,0,11,24.37,3,1,2,1,2,3,1,3,2,0,0,0,1,5,4
2024-11-02,CLE,MIL,1,1,22.83,8,3,7,2,0,0,1,4,2,1,0,1,3,8,6
2024-11-08,CLE,GSW,0,19,18.33,1,1,1,1,0,0,1,6,2,0,2,0,1,3,2
2024-11-09,CLE,BRK,0,5,17.73,4,1,3,1,0,0,0,4,1,1,0,0,1,3,3
2024-11-11,CLE,CHI,1,6,18.68,3,1,2,1,0,2,0,4,2,0,2,0,0,3,12
2024-11-13,CLE,PHI,1,8,20.0,5,2,5,2,0,0,2,2,1,0,0,0,2,6,-3
2024-11-15,CLE,CHI,0,18,28.83,5,1,5,1,2,2,1,3,1,3,1,1,1,5,20
2024-11-17,CLE,CHO,0,14,14.73,2,1,2,1,0,0,0,4,0,0,0,1,2,3,3
2024-12-03,CLE,WAS,0,31,18.7,5,0,5,0,0,2,0,6,1,1,0,0,1,0,1
2024-12-05,CLE,DEN,0,12,18.68,5,2,4,1,0,1,0,6,1,0,0,1,0,5,-8
2024-12-07,CLE,CHO,1,14,23.85,8,2,6,2,1,2,2,4,3,3,0,0,1,7,1
2024-12-08,CLE,MIA,1,-9,29.08,7,3,7,3,2,2,1,8,0,1,1,0,1,11,-9
2024-12-13,CLE,WAS,0,10,19.12,8,1,7,0,0,1,5,7,0,0,1,0,2,2,-4
2024-12-16,CLE,BRK,1,29,22.88,2,1,2,1,0,0,1,7,0,1,1,0,1,3,19
2024-12-20,CLE,MIL,0,23,20.93,6,5,5,4,1,1,0,5,2,2,0,0,2,15,19
2024-12-21,CLE,PHI,0,27,24.87,3,2,3,2,0,0,0,4,2,2,0,0,1,6,15
2024-12-27,CLE,DEN,1,14,25.8,4,3,4,3,2,2,1,3,5,0,2,1,1,11,19
2024-12-30,CLE,GSW,1,18,25.32,7,4,5,2,0,0,3,13,0,1,2,0,3,10,22
2024-12-31,CLE,LAL,1,12,24.05,4,1,3,0,1,1,2,9,2,0,0,0,2,3,9
2025-01-03,CLE,DAL,1,12,26.4,5,4,3,2,0,0,0,3,1,0,2,0,5,10,-6
2025-01-05,CLE,CHO,0,10,21.78,4,2,4,2,0,0,1,4,2,0,0,0,2,6,17
2025-01-08,CLE,OKC,0,7,20.57,5,4,4,3,0,0,0,3,1,0,0,2,3,11,0
2025-01-09,CLE,TOR,0,6,28.65,6,2,5,1,0,0,1,5,2,1,0,1,1,5,12
2025-01-12,CLE,IND,0,-15,20.82,5,1,5,1,0,0,1,9,1,1,0,0,2,3,-7
2025-01-14,CLE,IND,1,10,21.45,3,0,3,0,0,0,1,3,0,0,1,0,3,0,12
2025-01-16,CLE,OKC,1,-20,24.55,4,2,4,2,0,0,1,5,1,0,0,2,0,6,-10
2025-01-18,CLE,MIN,1,7,27.12,8,3,7,2,0,0,2,5,2,1,0,0,5,8,-16
2025-01-20,CLE,PHO,0,26,18.62,8,3,3,1,1,1,2,5,2,0,0,0,3,8,14
2025-01-22,CLE,HOU,1,-1,30.6,8,3,7,2,0,0,2,8,3,2,1,0,5,8,10
2025-01-24,CLE,PHI,1,-3,19.72,3,1,2,0,0,0,1,2,4,1,0,0,2,2,-7
2025-02-21,CLE,NYK,0,37,14.75,2,1,1,0,0,0,0,2,2,0,0,1,2,2,11
2025-02-23,CLE,MEM,0,6,17.35,3,0,3,0,0,0,3,6,0,0,0,1,3,0,0
