Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHO,LAC,1,3,14.22,2,2,0,0,4,6,1,2,1,0,1,1,1,8,-1
2024-10-25,PHO,LAL,1,-7,18.98,4,3,0,0,0,0,1,7,0,1,0,0,4,6,14
2024-10-26,PHO,DAL,0,12,9.93,1,1,0,0,1,2,0,1,1,0,0,0,3,3,1
2024-10-28,PHO,LAL,0,4,26.27,0,0,0,0,0,0,2,10,2,0,1,0,3,0,23
2024-10-31,PHO,LAC,1,6,17.38,7,3,0,0,2,4,4,6,0,2,1,2,3,8,0
2024-11-02,PHO,POR,0,6,16.5,2,0,0,0,0,2,1,6,2,0,2,1,0,0,-8
2024-11-04,PHO,PHI,0,2,14.35,3,2,0,0,1,2,1,3,1,0,0,0,1,5,-4
2024-11-06,PHO,MIA,0,3,12.13,2,2,0,0,0,0,1,3,2,0,0,0,0,4,-1
2024-11-08,PHO,DAL,1,1,14.32,2,2,0,0,0,2,0,2,0,0,0,0,2,4,4
2024-11-10,PHO,SAC,0,-9,25.73,2,2,0,0,2,3,2,11,6,1,0,1,3,6,-7
2024-11-12,PHO,UTA,1,8,26.47,9,6,0,0,3,4,3,14,2,0,1,0,1,15,0
2024-11-13,PHO,SAC,1,-23,11.5,3,0,0,0,1,2,0,4,0,0,0,2,2,1,-8
2024-11-17,PHO,MIN,1,-3,28.93,6,3,0,0,0,0,3,8,4,1,0,4,6,6,0
2024-11-18,PHO,ORL,0,-10,23.22,7,3,0,0,2,3,5,11,6,0,0,3,3,8,-1
2024-11-20,PHO,NYK,0,-16,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-11-26,PHO,LAL,0,27,6.37,0,0,0,0,0,0,0,3,0,0,0,1,2,0,4
2024-11-27,PHO,BRK,0,-10,15.73,2,2,0,0,2,2,1,4,2,0,0,0,1,6,6
2024-11-30,PHO,GSW,0,8,16.18,5,1,0,0,0,0,2,6,1,0,2,2,0,2,-7
2024-12-03,PHO,SAS,0,11,19.18,4,3,0,0,0,0,1,6,1,1,4,0,2,6,18
2024-12-05,PHO,NOP,1,-2,26.07,2,1,0,0,2,6,2,10,3,1,2,0,1,4,8
2024-12-07,PHO,MIA,1,-10,24.5,2,1,0,0,0,0,3,11,3,0,0,1,4,2,-21
2024-12-08,PHO,ORL,1,-5,25.7,5,2,0,0,3,4,1,6,0,1,4,2,2,7,-4
2024-12-13,PHO,UTA,1,8,10.35,0,0,0,0,0,0,3,9,1,1,1,2,4,0,1
2024-12-15,PHO,POR,0,7,12.42,0,0,0,0,0,0,1,4,1,0,1,0,0,0,7
2024-12-19,PHO,IND,0,-9,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024-12-21,PHO,DET,0,-8,21.97,3,2,1,0,1,2,2,9,4,0,0,0,2,5,2
