Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHO,LAC,1,3,14.22,2,2,0,0,4,6,1,2,1,0,1,1,1,8,-1
2024-10-25,PHO,LAL,1,-7,18.98,4,3,0,0,0,0,1,7,0,1,0,0,4,6,14
2024-10-26,PHO,DAL,0,12,9.95,1,1,0,0,1,2,0,1,1,0,0,0,3,3,1
2024-10-28,PHO,LAL,0,4,26.27,0,0,0,0,0,0,2,10,2,0,1,0,3,0,23
2024-10-31,PHO,LAC,1,6,17.38,7,3,0,0,2,4,4,6,0,2,1,2,3,8,0
2024-11-02,PHO,POR,0,6,16.5,2,0,0,0,0,2,1,6,2,0,2,1,0,0,-8
2024-11-04,PHO,PHI,0,2,14.35,3,2,0,0,1,2,1,3,1,0,0,0,1,5,-4
2024-11-06,PHO,MIA,0,3,12.13,2,2,0,0,0,0,1,3,2,0,0,0,0,4,-1
2024-11-08,PHO,DAL,1,1,14.32,2,2,0,0,0,2,0,2,0,0,0,0,2,4,4
2024-11-10,PHO,SAC,0,-9,25.73,2,2,0,0,2,3,2,11,6,1,0,1,3,6,-7
2024-11-12,PHO,UTA,1,8,26.47,9,6,0,0,3,4,3,14,2,0,1,0,1,15,0
2024-11-13,PHO,SAC,1,-23,11.5,3,0,0,0,1,2,0,4,0,0,0,2,2,1,-8
