Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MEM,UTA,1,2,13.68,5,1,2,0,0,0,1,3,1,0,0,1,1,2,11
2024-10-25,MEM,HOU,1,-20,11.9,5,1,1,0,1,2,1,3,0,0,0,1,1,3,3
2024-10-26,MEM,ORL,0,13,17.57,5,2,1,0,1,1,0,5,1,2,0,0,3,5,10
2024-10-28,MEM,CHI,0,-3,13.48,4,2,0,0,0,0,2,4,0,0,0,1,1,4,-9
2024-10-30,MEM,BRK,0,-13,20.1,5,5,0,0,3,3,2,3,1,2,0,0,0,13,5
2024-10-31,MEM,MIL,0,23,11.68,3,3,0,0,1,1,0,2,2,0,0,0,1,7,18
2024-11-02,MEM,PHI,1,17,13.05,4,2,0,0,0,2,0,1,0,1,1,0,2,4,-4
2024-11-04,MEM,BRK,1,-2,10.83,2,1,0,0,0,0,0,0,1,2,0,0,2,2,0
2024-11-06,MEM,LAL,0,17,19.17,6,2,0,0,2,2,0,3,0,0,0,0,1,6,16
2024-11-08,MEM,WAS,0,24,18.23,5,3,1,0,0,0,0,4,0,2,0,0,1,6,16
2024-11-10,MEM,POR,1,45,15.98,7,4,4,1,0,0,3,6,1,1,0,0,2,9,20
2024-11-15,MEM,GSW,1,-5,12.83,4,1,2,0,0,0,1,5,0,1,0,1,1,2,-16
2024-11-17,MEM,DEN,0,15,22.33,6,4,1,0,0,0,2,7,0,1,0,0,2,8,13
2024-11-19,MEM,DEN,0,-12,21.38,7,4,1,0,2,2,3,4,2,1,0,1,3,10,-18
2024-11-20,MEM,PHI,0,6,18.52,8,3,3,0,0,0,3,6,0,0,0,0,4,6,-12
2024-11-23,MEM,CHI,1,11,24.18,6,6,0,0,0,1,2,8,2,0,0,0,2,12,9
2024-11-25,MEM,POR,0,25,25.25,7,5,0,0,1,3,3,9,0,1,3,1,3,11,15
2024-11-27,MEM,DET,0,20,19.32,7,6,0,0,1,2,1,5,2,1,1,0,3,13,19
2024-11-29,MEM,NOP,0,11,22.47,4,2,0,0,0,0,4,11,2,0,1,1,3,4,13
2024-12-01,MEM,IND,0,15,23.55,5,4,0,0,0,0,2,4,1,1,1,0,3,8,6
2024-12-03,MEM,DAL,1,-5,21.68,6,4,0,0,0,0,3,6,2,0,0,1,1,8,-3
2024-12-05,MEM,SAC,0,5,17.57,2,2,0,0,0,0,1,3,0,0,2,1,2,4,-15
2024-12-07,MEM,BOS,1,6,26.37,11,9,0,0,0,0,4,8,4,2,1,0,5,18,2
2024-12-08,MEM,WAS,1,28,23.18,10,6,0,0,0,0,0,7,2,2,0,1,1,12,27
2024-12-13,MEM,BRK,0,16,23.43,11,7,0,0,0,1,2,8,1,0,0,2,5,14,5
2024-12-15,MEM,LAL,1,-6,12.78,4,2,0,0,1,2,1,5,1,0,0,1,1,5,-9
2024-12-19,MEM,GSW,0,51,24.07,6,4,0,0,0,0,5,10,2,1,2,1,1,8,27
2024-12-21,MEM,ATL,1,16,18.3,7,4,0,0,0,0,2,3,1,0,0,1,5,8,9
2024-12-23,MEM,LAC,0,-4,6.67,1,0,0,0,0,0,1,2,2,1,0,0,2,0,-2
2024-12-26,MEM,TOR,0,29,20.17,6,4,0,0,3,5,3,9,0,0,1,0,3,11,5
