Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DEN,OKC,0,-15,29.1,15,8,3,0,0,0,2,7,1,2,2,3,1,16,8
2024-10-26,DEN,LAC,0,-5,34.27,6,4,1,1,2,2,1,7,1,1,2,1,3,11,1
2024-10-28,DEN,TOR,1,2,39.65,11,6,4,1,4,4,2,4,2,1,1,1,3,17,8
2024-10-29,DEN,BRK,1,5,38.7,7,3,3,2,4,6,0,3,3,0,2,0,4,12,9
2024-11-01,DEN,MIN,1,-3,35.75,11,5,3,1,3,3,2,7,2,0,0,2,4,14,13
2024-11-02,DEN,UTA,0,26,32.82,11,6,5,3,2,2,0,2,3,2,0,1,3,17,21
2024-11-04,DEN,TOR,0,2,36.05,11,7,1,1,2,4,1,4,0,1,0,0,2,17,5
2024-11-06,DEN,OKC,0,2,36.53,14,7,8,4,6,6,1,8,0,2,1,2,2,24,6
2024-11-08,DEN,MIA,0,13,35.23,9,7,4,3,4,6,1,6,2,0,1,1,1,21,14
2024-11-10,DEN,DAL,0,2,35.05,10,5,2,1,3,4,2,6,2,0,0,1,3,14,8
2024-11-15,DEN,NOP,1,-7,37.2,12,7,2,0,1,1,1,4,3,5,0,1,3,15,-11
2024-11-17,DEN,MEM,1,-15,34.38,11,5,2,0,3,4,1,4,4,1,0,1,0,13,-2
2024-11-19,DEN,MEM,1,12,34.03,12,7,2,0,5,6,2,7,2,3,0,2,4,19,22
2024-11-22,DEN,DAL,0,-3,29.33,9,6,3,2,3,6,4,5,0,1,1,2,2,17,-9
2024-11-23,DEN,LAL,1,25,31.45,7,7,2,2,0,0,0,2,3,1,0,2,2,16,13
2024-11-25,DEN,NYK,0,-27,32.45,10,5,0,0,4,4,0,1,2,1,1,1,0,14,-13
2024-11-27,DEN,UTA,1,19,41.23,8,6,3,2,4,4,0,7,3,0,1,1,1,18,18
2024-12-01,DEN,LAC,1,-4,35.55,7,5,0,0,1,3,2,7,2,1,0,2,2,11,0
2024-12-03,DEN,GSW,0,4,35.85,7,3,2,0,5,7,0,6,2,1,0,3,3,11,23
2024-12-05,DEN,CLE,1,-12,39.18,10,4,3,0,2,2,0,4,0,2,2,2,2,10,2
2024-12-07,DEN,WAS,1,-9,37.67,14,7,3,0,0,0,2,2,0,1,1,2,3,14,-1
2024-12-08,DEN,ATL,1,30,32.2,11,7,2,2,1,2,2,8,4,2,1,1,3,17,34
2024-12-13,DEN,LAC,0,22,23.58,8,4,4,0,0,0,1,3,1,2,0,0,2,8,8
2024-12-19,DEN,POR,1,-2,24.5,10,5,2,1,2,2,0,4,1,1,0,0,1,13,-12
2024-12-22,DEN,NOP,1,3,38.83,8,4,1,0,2,2,3,6,5,2,0,1,1,10,2
2024-12-23,DEN,PHO,0,27,25.88,9,2,3,0,0,0,1,7,4,0,0,1,0,4,18
2024-12-25,DEN,PHO,1,-10,28.12,7,2,2,0,1,2,3,5,3,0,0,1,3,5,-10
2024-12-27,DEN,CLE,0,-14,31.88,9,7,4,2,0,0,1,2,1,1,0,1,4,16,-21
2024-12-28,DEN,DET,0,13,29.62,4,2,1,0,6,6,2,4,3,3,1,0,3,10,13
2024-12-30,DEN,UTA,1,11,36.13,12,9,1,0,2,2,0,2,2,2,1,0,3,20,20
2025-01-01,DEN,ATL,0,19,31.8,9,7,1,0,1,1,0,3,4,0,0,0,3,15,23
2025-01-03,DEN,SAS,0,-3,42.75,10,3,6,2,3,4,1,8,5,0,2,0,2,11,0
2025-01-04,DEN,SAS,1,11,27.07,8,4,1,0,0,0,0,2,3,1,1,0,2,8,-15
2025-01-07,DEN,BOS,0,-12,28.52,10,5,5,2,0,0,2,4,2,1,0,2,3,12,-11
2025-01-08,DEN,LAC,0,23,28.43,8,6,2,2,1,1,0,2,1,1,0,0,4,15,11
2025-01-10,DEN,BRK,0,19,29.08,7,4,1,1,2,2,0,7,0,1,0,1,3,11,18
2025-01-12,DEN,DAL,1,11,24.22,9,4,4,0,0,0,3,4,0,0,0,1,2,8,-19
2025-01-14,DEN,DAL,1,19,29.25,6,3,1,0,0,0,1,4,0,0,3,0,2,6,21
2025-01-15,DEN,HOU,0,-20,34.82,11,10,3,2,0,0,2,4,1,0,0,1,2,22,-17
2025-01-17,DEN,MIA,1,20,26.77,10,6,0,0,0,0,0,2,0,0,0,0,1,12,10
2025-01-19,DEN,ORL,1,13,35.58,10,6,3,1,7,7,5,11,2,0,0,1,3,20,22
2025-01-21,DEN,PHI,0,35,25.12,11,8,0,0,4,5,2,2,2,1,0,0,0,20,20
2025-01-23,DEN,SAC,0,9,25.47,14,8,5,2,3,4,2,2,1,2,1,0,4,21,-6
2025-01-25,DEN,MIN,1,-29,26.17,8,4,2,1,1,1,1,5,3,0,0,1,0,10,-19
2025-01-27,DEN,CHI,1,-8,32.77,15,11,4,2,4,4,1,5,4,2,1,2,2,28,4
2025-01-29,DEN,NYK,1,-10,28.85,8,4,2,1,4,4,2,5,1,0,0,1,2,13,-18
2025-01-31,DEN,PHI,1,3,31.03,10,6,5,3,0,0,1,5,2,1,0,3,1,15,-8
2025-02-01,DEN,CHO,1,3,38.42,15,9,5,2,4,4,1,11,2,2,0,0,3,24,9
2025-02-03,DEN,NOP,0,12,40.97,14,5,4,0,1,2,2,6,4,1,0,0,1,11,2
2025-02-05,DEN,NOP,0,25,29.03,12,8,3,1,6,6,2,9,3,3,1,1,3,23,24
2025-02-06,DEN,ORL,0,22,36.13,12,8,0,0,0,1,1,8,4,3,0,1,4,16,30
2025-02-08,DEN,PHO,1,17,37.8,13,6,5,1,5,6,3,7,6,0,1,0,1,18,19
2025-02-10,DEN,POR,0,29,37.47,14,12,0,0,2,2,1,6,2,0,1,1,2,26,34
2025-02-12,DEN,POR,0,11,45.37,13,7,4,2,5,7,1,10,6,2,1,0,3,21,11
2025-02-20,DEN,CHO,0,14,32.6,9,4,2,0,2,3,0,2,2,1,0,1,1,10,23
2025-02-22,DEN,LAL,0,-23,29.03,7,3,3,1,3,4,1,3,3,1,0,0,1,10,1
2025-02-24,DEN,IND,1,9,37.07,11,7,0,0,3,3,1,8,1,1,0,2,3,17,4
2025-02-27,DEN,MIL,1,-9,31.18,11,5,2,0,3,3,1,10,3,2,0,0,4,13,-12
2025-02-28,DEN,DET,1,15,35.18,14,10,3,2,1,1,1,6,2,0,1,0,0,23,30
2025-03-02,DEN,BOS,1,-7,46.8,22,10,8,2,2,2,0,6,3,4,1,1,3,24,-2
