Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,DET,IND,0,-6,28.93,9,4,7,4,2,2,0,1,1,1,0,0,2,14,-2
2024-10-25,DET,CLE,1,-12,23.17,6,3,5,3,0,0,0,3,1,0,0,1,1,9,-20
2024-10-26,DET,BOS,0,-6,36.8,7,2,5,1,4,4,0,2,2,0,0,0,3,9,1
2024-10-28,DET,MIA,1,-8,33.48,10,5,6,3,7,7,0,0,1,0,0,1,1,20,2
2024-10-30,DET,PHI,1,10,30.55,9,5,7,5,1,2,0,0,3,0,0,1,2,16,7
2024-11-01,DET,NYK,0,-30,24.57,9,3,7,2,0,0,1,1,3,0,0,1,1,8,-8
2024-11-03,DET,BRK,1,14,22.52,9,5,6,3,1,1,0,0,2,0,0,0,4,14,-2
2024-11-04,DET,LAL,0,12,32.18,12,7,8,4,1,1,0,0,1,0,0,0,0,19,-3
2024-11-06,DET,CHO,1,-1,31.07,10,5,7,3,0,0,0,3,3,0,0,1,0,13,-8
2024-11-08,DET,ATL,0,1,29.22,4,2,2,1,2,4,0,5,4,3,0,3,3,7,3
2024-11-10,DET,HOU,0,-2,29.78,10,3,6,2,2,2,0,4,2,1,0,0,0,10,1
2024-11-12,DET,MIA,0,2,18.85,6,3,4,1,4,4,0,1,1,0,0,0,2,11,6
2024-11-18,DET,CHI,0,-10,30.23,10,1,8,0,0,0,0,1,3,0,0,0,0,2,-6
2024-11-21,DET,CHO,1,-2,21.0,6,1,4,0,0,0,1,1,1,0,0,0,1,2,-24
2024-11-23,DET,ORL,1,-11,26.93,4,1,4,1,0,1,1,1,0,0,0,0,1,3,-9
2024-11-25,DET,TOR,0,2,34.8,6,3,4,2,2,2,0,2,1,0,0,1,0,10,12
2024-11-27,DET,MEM,1,-20,21.57,10,4,4,0,2,2,0,4,3,0,0,1,0,10,-15
2024-11-29,DET,IND,1,24,27.1,8,3,6,2,2,2,0,4,1,0,0,2,1,10,10
2024-11-30,DET,PHI,0,-15,20.57,6,0,4,0,0,0,0,0,0,0,0,0,1,0,-18
2024-12-03,DET,MIL,0,-21,28.68,10,5,5,2,3,3,0,3,1,0,0,0,1,15,-12
2024-12-04,DET,BOS,1,-10,25.27,2,1,0,0,0,0,0,3,0,0,0,1,1,2,-16
2024-12-07,DET,NYK,1,9,30.63,9,4,5,1,2,2,0,3,0,1,0,1,2,11,0
2024-12-12,DET,BOS,1,-24,19.17,6,3,3,0,0,0,2,6,1,2,0,1,2,6,-8
2024-12-16,DET,MIA,0,1,36.3,11,5,10,5,1,2,0,2,2,1,0,2,5,16,-1
2024-12-19,DET,UTA,0,-7,30.32,11,3,9,2,0,1,0,2,2,0,0,0,0,8,-20
2024-12-21,DET,PHO,1,8,28.62,10,6,6,4,0,0,0,1,2,1,0,0,1,16,13
2024-12-23,DET,LAL,1,3,24.82,8,5,5,2,3,3,0,0,0,0,0,2,1,15,-10
