Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,18.95,7,6,2,2,0,0,1,2,6,2,0,2,1,14,16
2024-10-25,CLE,DET,0,12,15.83,6,4,1,0,5,6,1,2,4,1,0,1,0,13,9
2024-10-26,CLE,WAS,1,19,15.17,6,4,1,1,5,6,1,2,3,1,0,1,1,14,-4
2024-10-28,CLE,NYK,1,6,6.68,5,1,2,0,0,0,0,0,0,2,0,1,1,2,-13
2024-10-30,CLE,LAL,0,24,16.33,7,5,3,2,2,2,0,2,4,1,0,0,1,14,-5
2024-11-01,CLE,ORL,0,11,21.0,9,3,3,1,2,2,0,6,2,2,0,0,0,9,3
2024-11-02,CLE,MIL,1,1,8.77,2,1,0,0,1,1,0,2,3,0,0,0,1,3,2
2024-11-04,CLE,MIL,0,2,18.73,4,3,1,0,0,1,0,0,1,2,0,0,0,6,-15
2024-11-06,CLE,NOP,1,9,15.8,7,4,2,2,1,2,1,3,5,2,0,1,1,11,1
2024-11-08,CLE,GSW,0,19,21.25,8,7,3,3,3,3,1,1,3,0,0,3,2,20,13
2024-11-09,CLE,BRK,0,5,18.08,4,2,1,0,0,0,0,1,5,2,0,1,1,4,16
2024-11-11,CLE,CHI,1,6,21.25,9,5,5,2,0,0,2,4,6,3,0,2,3,12,21
2024-11-13,CLE,PHI,1,8,13.45,4,3,2,2,0,0,0,0,2,0,0,2,3,8,-8
2024-11-15,CLE,CHI,0,18,19.22,8,3,4,1,0,0,1,4,4,0,0,0,2,7,11
2024-11-17,CLE,CHO,0,14,31.52,15,9,7,4,2,2,0,2,8,0,0,2,0,24,13
2024-11-19,CLE,BOS,1,-3,28.4,5,4,0,0,2,2,0,1,5,1,0,1,3,10,12
2024-11-20,CLE,NOP,0,28,23.28,19,10,12,7,2,2,1,3,1,0,0,2,1,29,28
2024-11-24,CLE,TOR,0,14,28.4,14,9,8,4,4,4,0,3,6,4,1,3,4,26,12
2024-11-27,CLE,ATL,0,-11,24.05,8,3,5,2,0,0,0,0,6,3,0,3,3,8,-17
2024-11-29,CLE,ATL,1,-16,17.73,7,3,1,0,1,1,0,3,1,3,0,2,3,7,-8
2024-12-01,CLE,BOS,0,4,11.25,4,1,3,0,4,4,0,0,1,0,0,1,1,6,-4
2024-12-05,CLE,DEN,0,12,12.02,4,2,1,0,0,0,0,2,1,0,0,1,1,4,-11
2024-12-07,CLE,CHO,1,14,12.4,5,2,1,0,1,1,3,3,0,0,0,0,3,5,-14
2024-12-08,CLE,MIA,1,-9,21.28,11,4,2,0,6,6,2,4,6,0,0,0,3,14,-4
2024-12-13,CLE,WAS,0,10,10.2,3,1,1,0,0,0,0,0,1,3,0,1,1,2,-2
2024-12-16,CLE,BRK,1,29,16.12,7,2,5,1,0,0,0,3,6,1,0,2,0,5,11
2024-12-20,CLE,MIL,0,23,15.78,10,5,7,3,0,0,2,4,4,2,0,2,0,13,-1
2024-12-21,CLE,PHI,0,27,23.95,11,4,7,3,0,0,2,4,4,0,0,1,2,11,20
2024-12-23,CLE,UTA,0,11,13.9,7,2,5,1,0,0,0,0,2,0,0,0,3,5,-7
2024-12-27,CLE,DEN,1,14,7.32,6,1,3,0,0,1,0,0,4,1,0,0,0,2,15
2024-12-30,CLE,GSW,1,18,19.57,10,3,5,2,2,2,1,2,4,1,0,0,2,10,12
2024-12-31,CLE,LAL,1,12,13.95,6,2,3,1,0,0,1,6,2,0,0,1,1,5,6
2025-01-03,CLE,DAL,1,12,19.47,5,3,2,1,2,2,0,2,5,0,0,0,1,9,-6
2025-01-05,CLE,CHO,0,10,20.17,10,3,5,2,0,0,1,4,5,2,0,0,2,8,13
2025-01-08,CLE,OKC,0,7,11.77,7,6,0,0,3,4,1,2,1,2,0,3,1,15,2
2025-01-09,CLE,TOR,0,6,20.12,5,2,1,0,4,4,2,2,1,2,0,1,0,8,-12
2025-01-16,CLE,OKC,1,-20,16.25,5,4,3,2,2,2,1,3,4,0,0,1,2,12,6
2025-01-18,CLE,MIN,1,7,21.73,7,5,2,2,3,4,0,4,4,1,0,1,1,15,28
2025-01-20,CLE,PHO,0,26,19.98,9,3,4,1,1,2,0,1,1,1,0,1,2,8,16
2025-01-22,CLE,HOU,1,-1,24.82,12,6,7,3,3,3,2,4,0,3,0,3,0,18,2
2025-01-24,CLE,PHI,1,-3,33.33,14,11,8,8,3,4,0,3,3,2,0,3,1,33,-1
2025-01-25,CLE,HOU,0,-4,17.67,8,1,5,0,4,4,2,4,3,0,0,1,2,6,-10
2025-01-27,CLE,DET,0,19,23.27,11,7,3,1,0,0,1,2,3,0,0,0,1,15,2
2025-01-29,CLE,MIA,1,20,29.65,18,9,8,2,0,0,2,3,7,1,0,2,2,20,14
2025-01-30,CLE,ATL,0,22,26.07,11,9,2,1,1,1,0,2,6,2,0,1,1,20,21
2025-02-02,CLE,DAL,0,43,26.63,12,5,4,2,0,0,1,3,5,3,0,2,2,12,12
2025-02-04,CLE,BOS,0,-7,15.32,4,2,0,0,1,1,1,4,0,0,0,0,1,5,-11
2025-02-05,CLE,DET,1,3,18.75,7,5,0,0,3,3,0,4,5,0,0,4,1,13,12
