Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,LAL,MIN,0,7,11.42,3,0,3,0,2,2,1,2,0,0,0,0,5,2,-5
2024-10-25,LAL,PHO,0,7,11.42,1,1,1,1,0,0,0,3,0,0,0,1,0,3,-17
2024-10-26,LAL,SAC,0,4,17.9,4,1,2,0,0,0,0,0,4,2,0,2,2,2,-20
2024-10-28,LAL,PHO,1,-4,23.17,4,2,1,1,0,0,1,2,1,0,2,0,4,5,-13
2024-10-30,LAL,CLE,1,-24,27.27,6,1,5,1,3,4,0,1,1,1,0,0,0,6,-19
2024-11-01,LAL,TOR,1,6,13.25,1,1,0,0,5,5,2,5,1,0,0,2,0,7,7
2024-11-04,LAL,DET,1,-12,4.2,2,0,1,0,0,0,0,1,0,0,0,1,2,0,-6
2024-11-06,LAL,MEM,1,-17,19.37,8,3,2,1,1,1,1,3,3,1,0,0,0,8,-3
2024-11-08,LAL,PHI,0,10,1.47,3,1,1,0,0,0,0,0,0,0,0,0,0,2,-4
2024-11-10,LAL,TOR,0,20,1.67,1,1,1,1,0,0,0,1,0,1,0,0,0,3,0
2024-11-15,LAL,SAS,1,5,29.65,7,4,3,1,2,2,1,3,1,2,1,0,0,11,23
2024-11-16,LAL,NOP,1,5,29.92,6,1,3,0,0,0,2,3,1,2,1,0,2,2,1
2024-11-19,LAL,UTA,0,6,16.8,1,0,0,0,1,2,0,0,0,2,2,2,2,1,-1
2024-11-21,LAL,ORL,0,-1,24.67,3,2,1,0,1,2,0,1,1,2,0,0,1,5,-2
2024-11-23,LAL,DEN,0,-25,16.57,8,5,3,2,0,0,0,0,1,0,0,1,1,12,-12
2024-11-26,LAL,PHO,1,-27,13.6,1,1,0,0,0,0,0,0,1,0,1,0,2,2,-9
2024-11-27,LAL,SAS,1,18,21.73,6,4,3,1,3,3,0,4,2,0,1,1,0,12,16
