Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2026-02-19,PHI,ATL,0,-10,09.98,3,0,3,0,0,0,0,0,5,2,0,0,1,0,-5
2026-02-21,PHI,NOP,1,-15,13.12,7,2,6,1,0,0,0,0,1,1,0,0,1,5,-6
2026-02-22,PHI,MIN,1,27,11.28,5,1,3,1,0,0,0,2,3,2,0,0,0,3,9
2026-02-24,PHI,IND,1,21,16.1,4,1,2,0,0,0,0,0,0,1,0,1,3,2,-3
2026-02-26,PHI,MIA,0,7,16.48,6,2,6,2,0,0,0,3,1,1,0,1,1,6,6
2026-03-01,PHI,BOS,1,-16,04.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7
2026-03-03,PHI,SAS,0,-40,25.78,11,4,8,2,0,0,0,2,2,2,0,1,3,10,-15
2026-03-04,PHI,UTA,0,4,10.07,3,0,2,0,0,0,0,1,1,0,0,0,1,0,-4
2026-03-07,PHI,ATL,1,-9,14.93,7,3,2,0,0,0,0,1,6,2,1,0,2,6,5
2026-03-09,PHI,CLE,1,-14,27.58,12,4,7,2,2,2,2,6,4,0,0,0,2,12,-14
2026-03-10,PHI,MEM,0,10,30.23,10,9,8,8,6,6,0,3,10,3,2,0,3,32,22
2026-03-12,PHI,DET,1,-22,18.53,10,5,6,2,3,4,0,1,2,0,0,2,1,15,-9
2026-03-14,PHI,BRK,0,7,22.92,10,2,8,2,0,0,0,3,1,2,1,1,0,6,-8
2026-03-15,PHI,POR,0,6,20.05,12,5,3,1,0,0,0,2,1,1,0,1,0,11,-5
