Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-22,POR,MIN,0,-4,13.82,2,0,1,0,2,2,0,2,2,2,0,0,1,2,-2
2025-10-24,POR,GSW,0,20,15.18,3,3,2,2,2,2,0,2,0,3,0,1,2,10,22
2025-10-26,POR,LAC,1,-7,15.07,4,2,2,1,0,0,0,0,0,3,0,0,4,5,9
2025-10-29,POR,UTA,1,2,04.7,1,1,1,1,0,0,0,0,1,2,0,0,0,3,-6
2026-02-20,POR,DEN,0,-54,12.67,5,1,4,1,2,2,0,2,1,3,0,2,1,5,-16
2026-02-22,POR,PHO,1,15,11.95,2,1,1,1,0,0,2,3,0,1,0,2,2,3,-11
2026-02-24,POR,MIN,0,-3,09.8,5,3,3,2,2,2,1,1,1,0,0,0,2,10,3
2026-02-26,POR,CHI,1,9,11.67,4,2,3,1,0,0,1,3,0,1,2,0,1,5,5
2026-02-28,POR,CHO,1,-16,12.0,4,2,3,1,0,0,1,3,2,2,1,0,0,5,3
2026-03-01,POR,ATL,1,-34,14.65,4,2,2,1,2,2,0,1,1,1,4,1,1,7,-9
2026-03-04,POR,MEM,1,8,12.92,3,0,2,0,0,0,2,3,1,1,0,1,3,0,2
2026-03-06,POR,HOU,1,-7,12.22,4,2,2,1,0,0,0,1,1,4,0,0,0,5,-7
2026-03-08,POR,IND,0,20,07.67,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3
2026-03-10,POR,CHO,0,-2,11.2,3,1,2,1,0,0,0,1,0,2,0,1,3,3,7
2026-03-13,POR,UTA,0,10,14.97,8,2,6,2,0,0,0,1,1,4,1,1,3,6,0
2026-03-15,POR,PHI,1,-6,14.58,4,2,3,1,0,0,1,3,2,1,0,1,1,5,3
2026-03-16,POR,BRK,1,19,15.33,6,2,5,1,0,0,1,1,2,2,0,1,4,5,3
