Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-10-23,IND,OKC,0,,45.12,19,9,8,3,15,17,3,11,1,0,0,4,6,36,9
2025-10-25,IND,MEM,1,-25,27.72,12,8,2,2,8,9,0,3,4,0,0,1,0,26,-18
2025-11-17,IND,DET,1,-15,25.25,16,7,9,3,8,14,0,3,2,1,0,4,5,25,-16
2025-11-19,IND,CHO,0,9,34.05,13,7,5,2,8,9,3,12,2,1,0,1,2,24,-2
2025-11-21,IND,CLE,1,-11,37.3,15,7,7,2,5,5,3,7,2,1,1,3,3,21,-8
2025-11-24,IND,DET,0,-5,28.37,13,3,4,1,7,8,0,4,1,0,0,3,5,14,-5
2025-11-26,IND,TOR,1,-2,34.02,15,5,9,4,1,2,0,3,3,1,0,4,3,15,-15
2025-11-28,IND,WAS,0,33,34.15,16,8,5,3,1,1,0,2,4,1,0,3,1,20,29
2025-11-29,IND,CHI,0,2,37.87,19,8,10,3,0,0,0,6,3,2,0,5,2,19,3
2025-12-01,IND,CLE,0,-16,21.8,9,3,4,2,3,5,0,4,1,0,0,3,3,11,-21
2025-12-03,IND,DEN,0,-15,28.2,10,5,3,2,3,3,2,7,2,0,0,4,2,15,-25
2025-12-05,IND,CHI,1,15,38.12,16,9,11,6,4,4,0,5,3,2,1,2,4,28,16
2025-12-08,IND,SAC,0,11,35.12,14,7,9,4,7,7,0,6,2,1,0,1,3,25,11
2025-12-12,IND,PHI,1,-10,29.78,8,2,4,1,2,2,1,5,2,0,1,1,3,7,-16
2025-12-14,IND,WAS,0,-19,31.65,9,3,5,1,8,8,1,4,2,0,0,1,5,15,-21
2025-12-18,IND,NYK,0,-1,38.47,18,7,9,2,0,0,1,8,2,2,0,2,1,16,9
2025-12-20,IND,NOP,1,-19,26.75,9,2,5,0,0,0,0,4,2,1,0,2,2,4,-32
2025-12-22,IND,BOS,1,-8,36.82,20,7,7,2,0,0,3,9,0,0,1,0,3,16,-21
2025-12-23,IND,MIL,0,-17,33.88,10,3,4,1,6,6,0,6,1,0,0,1,2,13,-5
2025-12-26,IND,BOS,0,-18,29.85,13,5,5,1,2,2,1,4,4,1,0,1,3,13,-13
2025-12-27,IND,MIA,1,-26,34.83,16,9,7,3,4,5,0,6,0,2,0,5,2,25,-17
2025-12-29,IND,HOU,1,-7,25.65,11,5,6,3,1,1,1,3,4,0,0,0,3,14,-13
2025-12-31,IND,ORL,0,-2,37.0,10,4,6,2,13,13,0,5,2,0,0,5,1,23,-7
2026-01-02,IND,SAS,0,-10,19.77,6,1,1,0,0,0,0,5,3,0,0,1,5,2,-12
2026-01-26,IND,ATL,1,-16,24.8,10,6,3,2,2,3,0,2,1,1,0,1,1,16,-25
2026-01-28,IND,CHI,0,3,28.35,10,4,5,3,4,4,1,8,1,0,0,2,4,15,-7
2026-01-31,IND,ATL,0,5,31.9,6,3,1,0,8,8,1,5,4,0,0,4,0,14,16
2026-02-02,IND,HOU,0,-4,34.35,15,8,2,0,9,10,1,4,5,0,0,0,2,25,-7
2026-02-10,LAC,HOU,1,-7,25.9,13,4,2,0,1,1,3,7,4,3,0,0,4,9,4
2026-02-11,LAC,HOU,1,3,31.0,10,3,3,1,9,10,0,3,3,3,1,1,1,16,6
2026-02-19,LAC,DEN,0,1,33.82,22,12,6,2,12,13,2,5,4,3,0,3,4,38,4
2026-02-20,LAC,LAL,1,-3,31.67,16,7,4,1,11,14,1,7,2,0,0,3,6,26,-2
2026-02-22,LAC,ORL,0,-2,30.08,16,7,5,1,6,7,2,9,5,0,0,2,2,21,1
2026-02-26,LAC,MIN,0,-6,33.7,14,4,4,0,6,8,1,6,2,1,0,6,5,14,1
2026-03-01,LAC,NOP,0,20,25.0,13,4,3,0,1,2,3,5,1,0,1,1,1,9,16
2026-03-02,LAC,GSW,1,13,31.43,13,6,2,0,5,5,1,7,0,1,1,4,2,17,12
2026-03-04,LAC,IND,0,23,21.9,11,8,3,1,6,7,0,8,4,1,1,1,4,23,32
2026-03-06,LAC,SAS,1,-4,22.22,12,3,3,0,2,4,1,3,1,0,1,0,3,8,-1
2026-03-07,LAC,MEM,1,3,34.83,15,6,3,0,9,9,3,10,1,1,1,2,2,21,-2
2026-03-09,LAC,NYK,0,8,36.43,20,9,5,2,8,9,1,7,1,1,0,2,1,28,5
2026-03-11,LAC,MIN,0,25,25.4,10,5,4,2,10,12,1,2,3,1,0,2,5,22,17
2026-03-13,LAC,CHI,0,11,27.83,19,10,5,1,5,6,1,6,2,1,0,2,1,26,-2
2026-03-14,LAC,SAC,0,-9,35.32,15,7,4,0,10,11,0,6,1,0,1,3,1,24,-11
2026-03-16,LAC,SAS,0,-4,34.28,12,5,4,0,6,6,1,4,3,2,0,2,5,16,-5
2026-03-25,LAC,TOR,0,25,27.02,14,7,3,1,8,11,1,4,6,0,1,0,1,23,21
2026-03-27,LAC,IND,1,1,29.25,8,2,3,1,12,15,2,7,1,1,0,2,1,17,2
2026-03-29,LAC,MIL,1,14,27.2,10,7,1,1,13,14,1,6,1,0,0,4,2,28,-3
2026-03-31,LAC,POR,0,-10,22.38,7,2,1,0,0,0,0,0,0,0,0,2,2,4,-18
